pvalue,gene_name
0.506948597,
0.511481952,ELOVL1
0.007970519,LOC55866
0.125916611,FTSJ1
0.075928654,PGLYRP
0.684357093,
0.178302805,VR22
0.602186008,TRA1
0.054739354,
0.566726995,
0.48281506,MAGEB1
0.379345015,SDCCAG3
0.006344541,
0.62593065,HAVCR-1
0.732267265,DDX31
0.121229467,
0.739014373,
0.193575966,DRD5
0.266651169,MMS19L
0.55537577,
0.091690059,
0.904384038,MUT
0.172976753,ICMT
0.184507954,
0.367204955,RLBP1
0.203758378,
0.052868154,GRIK1
0.997542222,INDO
0.948924214,ARNTL2
0.26949699,
0.000805608,
0.346913559,RAI16
0.520776936,
0.030062857,KIAA0220
0.132025069,UBE2L6
0.014302163,RFPL2
0.367461459,
0.248540035,HSF1
0.848976428,C5R1
0.909117978,FLJ13782
0.286137194,
0.950648345,
0.078525312,FLJ11274
0.23699533,
0.084746362,UBE2D1
0.489125014,
0.648444587,PSMB5
0.304807587,FUS
0.433565124,PLA2G10
0.316025506,
0.085711002,USP7
0.127798776,RAN
0.157740876,FLJ12122
0.223297801,
0.758714332,PGM1
0.371310407,HNOEL-iso
0.459002968,AP1S1
0.033685886,NIF3L1
0.750226138,OTC
0.419251469,MX2
0.604439036,PCBP2
0.089787829,CD36L2
0.880884996,
0.073674167,ABCC5
0.647459935,C11orf10
0.529029991,KCNJ13
0.443661248,ADARB1
0.36182208,GRP58
0.135307774,F13B
0.743158108,ASM3A
0.224106108,FIBP
0.171768881,
0.91369854,FLJ10211
0.931261681,PRO1598
0.868907618,LMO7
0.061844301,RPL7
0.088098607,KIAA0475
0.861904346,
0.327331112,CHGB
0.85177042,TRIM5
0.234714987,
0.681589754,
0.430556108,KIAA0801
0.080067668,CST6
0.092564367,OR1F1
0.579219449,IFNG
0.161997194,
0.094709869,FLJ11565
0.241676301,PKP2
0.052214396,PGR
0.363855532,LOC51668
0.173929243,MECP2
0.345288877,SE20-4
0.130474434,PKD2
0.968133226,
0.112629149,IUF1
0.925502712,FLJ20105
0.967758432,FLJ10379
0.199364308,C9orf15
0.846963068,KIAA0543
0.105456898,HNRPU
0.118345386,IL1RL2
0.008220928,
0.078913659,GDF2
0.568690746,
0.254756037,NIN
0.826884054,
0.587545827,
0.074023475,EPS15R
0.741284656,RAD52
0.145227644,FLJ21802
0.959215293,
0.496025726,GALNT8
0.234072791,
0.639439003,TETRAN
0.485560057,
0.143977295,
0.080907108,
0.281967305,
0.455465805,TNFSF8
0.773211447,TIMM17A
0.488485551,CRFG
0.053887878,ORC6L
0.188285623,
0.333275781,GMPPB
0.016663579,AFG3L2
0.498063782,LOC64744
0.516686194,PIP5K2A
0.311471779,SLN
0.383725544,DEFB1
0.01345848,PGRMC2
0.00673869,FLJ10813
0.635177991,CORTBP1
0.798510264,SIP1
0.157040843,
0.970059096,HDCMA18P
0.774764763,CHERP
0.250111911,ANGPT4
0.267881269,ZNF22
0.889167534,
0.264732907,DKFZp434K092
0.438827962,
0.032882862,KYNU
0.072930304,
0.97564393,
0.567526549,FLJ20003
0.422879797,FLJ13902
0.750173073,GFI1B
0.989814103,
0.059215808,FBN1
0.438123826,KIAA0895
0.263042655,UMPH1
0.927111867,
0.785881396,
0.288989335,CD5L
0.198204603,FLJ12085
0.547975317,
0.15214624,
0.081262731,PLOD2
0.662683446,GTPBP2
0.986595412,P15-2
0.387060472,
0.10910031,HEM1
0.319931079,SMARCC1
0.99909655,
0.082251778,CNP
0.507458095,
0.775217736,DUSP1
0.103740262,PTPRC
0.006460509,HCS
0.807672492,ELKS
0.897233257,IRAK1
0.952446861,
0.543589723,PLOD
0.501567984,KCNMA1
0.259082768,STIM1
0.471106959,RENT1
0.802070355,FRDA
0.559553944,
0.425712526,YWHAB
0.894425482,ELL
0.844837387,CTGF
0.051989846,CKM
0.077454028,MMP7
0.147167707,
0.661297311,
0.632782111,
0.617044179,GRTH
0.136851086,CECR1
0.653800736,XRCC4
0.298339068,HSSEXGENE
0.282966585,SLC21A9
0.817623851,PEPD
0.820906738,
0.139943808,
0.032149189,
0.127353136,
0.012903431,WFDC2
0.089086495,
0.895971292,ARHH
0.114496439,DKFZP434K114
0.108912899,ARA267
0.430868167,MGC5521
0.44397857,POFUT1
0.259588172,
0.021318424,
0.118601841,NKX3A
0.691055985,OS4
0.062079464,GEMIN5
0.568223822,
0.966692012,LOC51053
0.515848907,LATS1
0.330313839,RAB5B
0.588331152,
0.13939603,GAN
0.505147973,KIAA1200
0.129365161,E2IG3
0.155427129,FLJ10315
0.824519728,SLC21A11
0.253241621,
0.287017294,FLJ20674
0.567062043,
0.687019288,SORT1
0.014422474,
0.901801136,GRIK5
0.632169519,A2M
0.472171456,KIAA0417
0.170798005,KIAA0016
0.812166461,MGC4549
0.195510533,COL12A1
0.916348456,PLEK2
0.277540766,ZNF297B
0.036677032,KPNA4
0.252399019,
