gene_name
ABI3BP
ADGRB2
AIF1L
ASB13
ASF1B
ASPM
AURKB
BCL2
CCNA2
CCNB2
CDCA5
CENPF
CKAP2L
CNTN4
CTNND2
CXCL12
E2F2
E2F8
EEF1A2
ELOVL2
ESPL1
EWSAT1
EXO1
FAM196A
FAM83D
FBXL7
GALNT5
HELLS
HMGB2
IER3
IGFALS
IGFBP4
IQCA1
ITPR1
KCNK15
KIF14
KIF2C
KIFC1
KNL1
LMNB1
LRP2
LRRC75A-AS1
LYPD6B
MCM10
ME3
MGP
MKI67
MUC5B
MYB
MYO7A
NCAPG
NPY1R
NRM
NUSAP1
PDZK1
PGR
PHF19
PNMA2
PRC1
PREX1
RAB37
RACGAP1
RAD51
RAPGEF4
RBP7
RERG
RIMS4
RRM2
RTN1
SCD5
SEMA3C
SLC17A9
SLC30A8
SMAD6
STC2
SULF2
SVIL
TGIF2
TOP2A
TPRG1
TPX2
TROAP
UBE2C
