"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.B_cells","log2fold_change","Auc"
"566","RP11-1023P17.2","hurdle",0.0116043225262701,-3.321928,-2.813068,0.50886,0.508
"560","RNF19B","hurdle",0.0217807386161296,-2.772018,-2.258532,0.513486,0.508
"493","PLCXD1","hurdle",0.0244078443811666,-3.145218,-2.611621,0.533597,0.508
"480","PDS5A","hurdle",0.0232353165372837,-2.043552,-1.540066,0.503486,0.508
"472","PCDHB1","hurdle",0.0116043225262641,-3.319656,-2.772528,0.547128,0.508
"411","METTL8","hurdle",0.0635430285102976,-2.457359,-1.889092,0.568267,0.508
"393","MADD","hurdle",0.011420990541986,-2.815268,-2.21134,0.603928,0.508
"380","LINC01480","hurdle",0.199714418467092,-3.01069,-2.486699,0.523991,0.508
"372","LIN52","hurdle",0.0072410273715878,-2.838437,-2.196343,0.642094,0.508
"318","IGLV5-37","hurdle",0.011604322526265,-3.321928,-2.662205,0.659723,0.508
"316","IGLV3-27","hurdle",0.0258447487207463,-3.309599,-2.596514,0.713085,0.508
"85","C19orf67","hurdle",0.0116043225262572,-3.320886,-2.766869,0.554017,0.508
"84","C16orf96","hurdle",0.0116043225262639,-3.321928,-2.808507,0.513421,0.508
"64","BBS9","hurdle",0.100356523334649,-2.941217,-2.414545,0.526672,0.508
"788","ZNF804A","hurdle",0.0410874482882186,-3.297146,-2.663732,0.633414,0.507
"750","VPS13C","hurdle",0.00265583651724288,-1.924223,-1.404227,0.519996,0.507
"723","TRAPPC8","hurdle",0.000165662532882147,-2.659494,-1.953861,0.705633,0.507
"711","TNIP1","hurdle",0.000443914843426411,-1.644262,-1.09851,0.545752,0.507
"654","SOWAHD","hurdle",0.0131647298077028,-3.290159,-2.757056,0.533103,0.507
"465","PAOX","hurdle",0.00372123637579196,-3.009752,-2.465925,0.543827,0.507
"456","OSBPL10","hurdle",0.00532902337107736,-2.65601,-2.088695,0.567315,0.507
"447","NOP14","hurdle",0.0255479423885246,-2.702473,-2.165443,0.53703,0.507
"427","MTMR8","hurdle",0.0804645980742554,-3.275699,-2.766869,0.50883,0.507
"332","IQCB1","hurdle",0.0601720642010629,-2.366586,-1.848367,0.518219,0.507
"173","CYB5R4","hurdle",0.00115097546357754,-2.460807,-1.711769,0.749038,0.507
"165","CTD-3075F15.1","hurdle",0.0451693391926687,-3.292716,-2.752736,0.53998,0.507
"164","CTD-2631K10.1","hurdle",0.017752372112963,-3.280391,-2.766869,0.513522,0.507
"68","BCL2L11","hurdle",0.0406676400604827,-2.394099,-1.785536,0.608563,0.507
"748","VAV2","hurdle",0.0301464087693363,-2.933572,-2.433365,0.500207,0.506
"669","STAT6","hurdle",0.000556751572139325,-2.200744,-1.660939,0.539805,0.506
"637","SLC25A19","hurdle",0.0268011925313651,-2.787144,-2.140183,0.646961,0.506
"442","NFKBIB","hurdle",0.00686675765329867,-2.223198,-1.682447,0.540751,0.506
"135","CHMP7","hurdle",0.0122555676852797,-2.486671,-1.878345,0.608326,0.506
"779","ZNF263","hurdle",0.0012574873099063,-2.660844,-1.990866,0.669978,0.505
"483","PHTF1","hurdle",0.0494533180665395,-2.591522,-2.061671,0.529851,0.505
"422","MON2","hurdle",0.000132062672214593,-2.120144,-1.401409,0.718735,0.505
"187","DOK1","hurdle",0.00469288473717947,-2.820489,-2.202999,0.61749,0.505
"82","C12orf43","hurdle",0.00039806632390619,-2.545635,-1.88621,0.659425,0.505
"17","ADAT2","hurdle",0.0157064808259275,-3.050386,-2.517358,0.533028,0.505
"12","ACO2","hurdle",0.00092905125546747,-1.911051,-1.37861,0.532441,0.505
"770","ZDHHC21","hurdle",0.0211363279741294,-2.618884,-2.101556,0.517328,0.504
"732","TTLL4","hurdle",0.0329416539935561,-3.064847,-2.530028,0.534819,0.504
"639","SLC26A6","hurdle",0.00105129427233279,-3.065284,-2.505519,0.559765,0.504
"592","RP3-395M20.12","hurdle",0.0424570244855213,-2.765171,-2.246251,0.51892,0.504
"514","PRPF39","hurdle",0.0193735739882155,-2.749422,-2.202865,0.546557,0.504
"431","MYO9B","hurdle",0.0513323171201304,-2.446543,-1.937054,0.509489,0.504
"347","KDM4B","hurdle",3.9557858915959e-05,-2.116435,-1.568548,0.547887,0.504
"344","JADE3","hurdle",0.00767594709709792,-2.936887,-2.376009,0.560878,0.504
"284","HPS5","hurdle",0.0175436152975975,-2.590473,-1.974619,0.615854,0.504
"185","DERL3","hurdle",0.0364146925141753,-2.957538,-2.436834,0.520704,0.504
"91","C3orf58","hurdle",0.0328967813242511,-2.498716,-1.993563,0.505153,0.504
"789","ZNF844","hurdle",0.002949104227764,-2.611816,-2.045067,0.566749,0.503
"607","SAMD4A","hurdle",0.00134681235292741,-2.836873,-2.175608,0.661265,0.503
"39","AP1G2","hurdle",0.000334279206757489,-2.310087,-1.606588,0.703499,0.503
"778","ZNF224","hurdle",0.0139813519277413,-2.426891,-1.862407,0.564484,0.502
"771","ZFP91","hurdle",0.0315237917600453,-2.591035,-2.088301,0.502734,0.502
"713","TOR1B","hurdle",0.0158858858156982,-2.532429,-2.026713,0.505716,0.502
"712","TOP1MT","hurdle",0.00969766198535478,-2.608796,-2.025068,0.583728,0.502
"684","TAF3","hurdle",0.00557282841103006,-2.151925,-1.604328,0.547597,0.502
"682","TAF1A","hurdle",0.00564682045376718,-3.025893,-2.466936,0.558957,0.502
"602","RRM2B","hurdle",0.00543665983540378,-2.542214,-1.937282,0.604932,0.502
"475","PCNXL4","hurdle",0.0311519066763817,-2.069223,-1.55383,0.515393,0.502
"410","METTL2B","hurdle",0.000639841121592279,-2.630729,-1.98243,0.648299,0.502
"90","C3orf17","hurdle",0.00127110314917362,-2.375673,-1.716619,0.659054,0.502
"42","ARAP1","hurdle",0.00402046736092948,-2.660963,-2.105085,0.555878,0.502
"727","TRIM39","hurdle",0.00408332383573015,-2.827783,-2.252584,0.575199,0.501
"32","ANKRD13C","hurdle",0.0272104748629602,-2.649727,-2.130758,0.518969,0.501
"774","ZMAT1","hurdle",0.00134037219712538,-2.383209,-1.84239,0.540819,0.5
"721","TRAPPC2","hurdle",0.00105917809090657,-2.515854,-1.87934,0.636514,0.5
"320","IKZF5","hurdle",0.0297361949002533,-2.656394,-2.102212,0.554182,0.5
"259","GRWD1","hurdle",0.00215424410431107,-2.432977,-1.875929,0.557048,0.5
"155","COX10","hurdle",0.00460877271433297,-2.825893,-2.266802,0.559091,0.5
"53","ASB6","hurdle",0.0139901745530975,-2.829551,-2.246055,0.583496,0.5
"50","ARHGEF19","hurdle",0.00115538733448544,-3.033649,-2.532466,0.501183,0.5
"690","TBC1D5","hurdle",0.00636669706486868,-2.245286,-1.739015,0.506271,0.499
"562","RNF44","hurdle",0.00449399509563479,-2.382631,-1.801448,0.581183,0.499
"421","MON1B","hurdle",0.000112678291486162,-2.673801,-2.130207,0.543594,0.499
"196","EFTUD1","hurdle",0.00170511127374475,-2.98013,-2.427181,0.552949,0.499
"581","RP11-452F19.3","hurdle",0.00377002207116648,-2.777357,-2.240972,0.536385,0.498
"433","NAPB","hurdle",0.000309850120504448,-2.998049,-2.407983,0.590066,0.498
"133","CHERP","hurdle",0.00301202337983534,-2.403447,-1.859453,0.543994,0.498
"734","TUBGCP2","hurdle",5.95108759049917e-05,-2.106273,-1.542352,0.563921,0.497
"725","TRIM25","hurdle",0.000896377073088506,-2.606065,-2.098815,0.50725,0.497
"83","C15orf57","hurdle",0.00161633347495527,-2.108912,-1.56338,0.545532,0.497
"666","STAG2","hurdle",0.000108364302726018,-1.768063,-1.239909,0.528154,0.496
"785","ZNF581","hurdle",0.000744667969743652,-2.138534,-1.637307,0.501227,0.495
"27","ALKBH5","hurdle",9.15829094338557e-05,-1.863873,-1.328612,0.535261,0.494
"158","CREB1","hurdle",0.000260717585257209,-1.9073,-1.385246,0.522054,0.493
"501","POP4","hurdle",0.000246511521787557,-2.086404,-1.566543,0.519861,0.492
"238","FUT8","hurdle",0.000220852335247657,-2.175205,-1.641885,0.53332,0.489
"248","GOT1","hurdle",8.90531058969109e-05,-2.331499,-1.790768,0.540731,0.484
