"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Endothelial","log2fold_change","Auc"
"1596","SBNO2","hurdle",0.0576025140837799,-2.608678,-2.015885,0.592793,0.551
"1415","PRAF2","hurdle",9.07365266288095e-06,-2.4431,-1.805657,0.637443,0.551
"1194","NEK3","hurdle",1.65227670066602e-07,-2.909247,-2.138354,0.770893,0.551
"1177","NACC2","hurdle",2.51335636092499e-08,-3.034345,-2.217103,0.817242,0.551
"839","HOXD3","hurdle",3.20203568459084e-16,-3.291144,-2.396551,0.894593,0.551
"773","GPR137","hurdle",2.63192553759294e-05,-2.527329,-1.947995,0.579334,0.551
"763","GNG10","hurdle",0.0106219378397643,-2.056753,-1.541514,0.515239,0.551
"683","FLRT2","hurdle",7.18702003378264e-07,-3.018515,-2.204431,0.814084,0.551
"300","CD2AP","hurdle",1.65581145118143e-05,-2.043188,-1.519633,0.523555,0.551
"265","CASC15","hurdle",2.30918541545369e-09,-3.01148,-2.142643,0.868837,0.551
"156","ASGR1","hurdle",7.10250364639331e-06,-3.209045,-2.445012,0.764033,0.551
"24","ACER3","hurdle",0.00100619142810419,-2.561119,-1.989193,0.571926,0.551
"2027","WDR54","hurdle",1.08706110021756e-09,-2.411637,-1.839568,0.572069,0.55
"1955","TSHZ3","hurdle",1.2975141135094e-09,-3.100647,-2.386083,0.714564,0.55
"1947","TRIO","hurdle",0.000190717947321841,-2.57079,-1.967993,0.602797,0.55
"1873","TLR4","hurdle",1.91185298754902e-12,-3.178138,-2.362904,0.815234,0.55
"1858","THEM6","hurdle",1.72061219356418e-06,-2.321081,-1.703412,0.617669,0.55
"1803","SYNE3","hurdle",4.69606477206654e-07,-2.980677,-2.221771,0.758906,0.55
"1748","SPRY4","hurdle",1.47046425651311e-12,-2.871507,-1.962089,0.909418,0.55
"1741","SPEN","hurdle",0.000410159715802935,-2.167215,-1.658952,0.508263,0.55
"1681","SLC30A7","hurdle",0.0108390072746531,-2.350346,-1.80215,0.548196,0.55
"1619","SENCR","hurdle",1.67546503795305e-11,-3.27519,-2.425577,0.849613,0.55
"1574","RRAS","hurdle",0.0687405556541278,-2.278865,-1.776698,0.502167,0.55
"1568","RPH3AL","hurdle",5.76298213782881e-08,-2.934531,-2.195625,0.738906,0.55
"1550","ROM1","hurdle",1.16586432472095e-10,-3.071922,-2.235273,0.836649,0.55
"1411","PPP2R5B","hurdle",1.04391165296953e-06,-2.932952,-2.196931,0.736021,0.55
"1255","NUP93","hurdle",0.000116128305423941,-2.778071,-2.144188,0.633883,0.55
"1193","NEIL1","hurdle",2.12643829442186e-05,-2.520239,-1.952032,0.568207,0.55
"997","LCN6","hurdle",4.3830546465333e-25,-3.321928,-2.310373,1.011555,0.55
"986","LAMA3","hurdle",1.1296281967996e-08,-2.69553,-2.004979,0.690551,0.55
"973","KLF8","hurdle",1.21482564341585e-07,-2.780204,-2.071149,0.709055,0.55
"834","HOXA7","hurdle",0.00542533862744477,-2.505714,-1.952792,0.552922,0.55
"780","GRAP","hurdle",2.07501350031214e-13,-3.197068,-2.31457,0.882498,0.55
"743","GJA5","hurdle",1.11304426778544e-27,-3.186756,-1.880809,1.305947,0.55
"592","ERF","hurdle",0.000876248955435639,-2.149293,-1.640196,0.509097,0.55
"541","EEPD1","hurdle",6.1720645919623e-06,-3.048082,-2.312312,0.73577,0.55
"452","CYB5D2","hurdle",2.622170757109e-05,-2.449954,-1.84335,0.606604,0.55
"447","CUBN","hurdle",2.50394767912487e-14,-3.264365,-2.377446,0.886919,0.55
"439","CTNNBIP1","hurdle",0.00132636470069215,-2.214236,-1.683619,0.530617,0.55
"385","CNOT8","hurdle",1.86284535131316e-06,-2.179525,-1.600745,0.57878,0.55
"306","CD58","hurdle",3.92361558029504e-06,-2.396549,-1.787137,0.609412,0.55
"212","BTN3A3","hurdle",6.56456304474939e-07,-2.69504,-2.011734,0.683306,0.55
"2057","ZNF302","hurdle",0.000205982270598517,-2.052881,-1.544351,0.50853,0.549
"1936","TPST1","hurdle",0.00267206542776209,-2.710857,-2.179826,0.531031,0.549
"1911","TNFRSF10C","hurdle",5.18909340964703e-11,-3.076549,-2.209824,0.866725,0.549
"1861","TIAM1","hurdle",1.107327720067e-08,-2.806787,-2.188095,0.618692,0.549
"1761","ST3GAL2","hurdle",5.32232457571662e-09,-3.000013,-2.238302,0.761711,0.549
"1757","SSBP3","hurdle",5.12762678518626e-05,-2.482154,-1.971921,0.510233,0.549
"1545","RNPEPL1","hurdle",0.00621185310712431,-2.541973,-2.007507,0.534466,0.549
"1543","RNF38","hurdle",0.00966060607654727,-2.665581,-2.10519,0.560391,0.549
"1394","POSTN","hurdle",3.65510467286765e-11,-1.923858,-1.369982,0.553876,0.549
"1374","PLOD2","hurdle",4.25385327071917e-09,-2.836652,-2.142671,0.693981,0.549
"1282","PALM","hurdle",3.3736830585769e-08,-2.985449,-2.262163,0.723286,0.549
"1278","PACS2","hurdle",6.62133159450186e-06,-2.679866,-2.062547,0.617319,0.549
"1141","MSL3","hurdle",1.60660175884352e-05,-2.251427,-1.750002,0.501425,0.549
"1122","MLLT1","hurdle",6.38984753597615e-07,-2.788936,-2.1101,0.678836,0.549
"648","FBXL7","hurdle",1.40958016146298e-07,-3.134736,-2.3708,0.763936,0.549
"642","FAR1","hurdle",0.000540689117357096,-2.260819,-1.710838,0.549981,0.549
"603","ETV1","hurdle",8.88410382981209e-08,-3.028944,-2.349688,0.679256,0.549
"590","ERAP2","hurdle",1.18747669779967e-05,-2.513988,-1.901457,0.612531,0.549
"362","CIAPIN1","hurdle",9.7662415256819e-05,-2.556115,-2.001441,0.554674,0.549
"89","ALDH16A1","hurdle",0.000388722671251223,-2.516211,-1.902578,0.613633,0.549
"9","ABCG2","hurdle",6.14461146045811e-13,-3.240095,-2.317285,0.92281,0.549
"1959","TSPAN2","hurdle",2.24635829767969e-09,-2.987437,-2.116857,0.87058,0.548
"1942","TRIM25","hurdle",3.5874988868763e-05,-2.712539,-2.020747,0.691792,0.548
"1926","TOR1A","hurdle",6.39892282197054e-06,-2.35292,-1.837962,0.514958,0.548
"1753","SRGAP2B","hurdle",5.28059728886429e-06,-2.937201,-2.209033,0.728168,0.548
"1700","SMAD3","hurdle",0.000325442068730206,-2.632679,-2.07158,0.561099,0.548
"1496","RASSF9","hurdle",5.54326564634766e-17,-3.284249,-2.418085,0.866164,0.548
"1402","PPP1R12C","hurdle",0.00206627143064595,-2.718973,-2.094468,0.624505,0.548
"1372","PLLP","hurdle",1.43479795823281e-24,-2.972388,-1.946505,1.025883,0.548
"1259","NYNRIN","hurdle",9.85398605134557e-08,-3.050836,-2.302581,0.748255,0.548
"1131","MOB3B","hurdle",3.03047079476988e-05,-2.844046,-2.278071,0.565975,0.548
"1047","LTV1","hurdle",0.00908763862655308,-2.559977,-2.00522,0.554757,0.548
"1013","LINC00987","hurdle",2.53848120213985e-09,-3.232611,-2.472029,0.760582,0.548
"982","KSR1","hurdle",2.87410252485128e-06,-3.096769,-2.400587,0.696182,0.548
"849","HSD3B7","hurdle",1.02832965343918e-06,-2.386679,-1.762805,0.623874,0.548
"776","GPR68","hurdle",9.76600311069293e-07,-3.177656,-2.47104,0.706616,0.548
"756","GNAL","hurdle",8.94827605926309e-05,-3.129527,-2.436921,0.692606,0.548
"667","FGR","hurdle",6.08874288805943e-05,-3.115518,-2.333809,0.781709,0.548
"578","ENPP4","hurdle",0.0018541757409021,-2.985515,-2.350352,0.635163,0.548
"518","DOK5","hurdle",9.78849968749108e-07,-3.093177,-2.364656,0.728521,0.548
"255","CAMKK2","hurdle",2.25449710661802e-06,-2.678931,-2.087615,0.591316,0.548
"102","ANO10","hurdle",4.16894064012436e-09,-2.718053,-1.992497,0.725556,0.548
"1841","TEAD1","hurdle",1.34279170579465e-05,-2.528031,-1.955601,0.57243,0.547
"1727","SOGA1","hurdle",2.12505211099982e-05,-2.665253,-2.071511,0.593742,0.547
"1552","RP11-147L13.11","hurdle",4.97528931074452e-07,-2.852138,-2.159205,0.692933,0.547
"1443","PTDSS1","hurdle",0.00190728169005542,-2.271766,-1.770631,0.501135,0.547
"1396","PPFIA3","hurdle",3.00116993695305e-10,-2.859073,-2.089596,0.769477,0.547
"1321","PELI2","hurdle",7.92212282485994e-08,-2.98028,-2.275058,0.705222,0.547
"1276","P3H1","hurdle",0.000168178114603015,-2.78091,-2.173024,0.607886,0.547
"1244","NT5E","hurdle",1.6896562948147e-05,-2.974308,-2.322916,0.651392,0.547
"1234","NRAS","hurdle",3.70766317365337e-05,-2.65085,-1.986646,0.664204,0.547
"1059","MAEA","hurdle",0.000373678765578273,-2.408418,-1.882131,0.526287,0.547
"871","IFIH1","hurdle",1.06950925172844e-06,-2.614129,-2.066218,0.547911,0.547
"707","FUT11","hurdle",3.25487426116772e-06,-2.873746,-2.227363,0.646383,0.547
"663","FGD6","hurdle",1.28164109449157e-06,-2.739757,-2.080855,0.658902,0.547
"622","FAM124B","hurdle",6.0523590182431e-18,-3.293218,-2.424954,0.868264,0.547
"356","CHMP1A","hurdle",0.000307772273424,-2.27667,-1.749818,0.526852,0.547
"60","ADPRH","hurdle",7.87208069074099e-05,-3.130241,-2.413901,0.71634,0.547
"1970","TUG1","hurdle",0.000148763208658698,-2.072612,-1.56202,0.510592,0.546
"1927","TOR1B","hurdle",0.0169705532727699,-2.602864,-2.098146,0.504718,0.546
"1812","TAF1C","hurdle",1.92843104954685e-05,-2.923987,-2.207115,0.716872,0.546
"1806","SYT11","hurdle",3.32215782627696e-05,-2.93349,-2.25462,0.67887,0.546
"1731","SOX13","hurdle",6.61127383497251e-06,-2.70975,-2.058708,0.651042,0.546
"1711","SMYD4","hurdle",2.61069563754548e-07,-2.782439,-2.103245,0.679194,0.546
"1555","RP11-373D23.3","hurdle",4.85794449194127e-06,-3.03269,-2.338133,0.694557,0.546
"1523","RFX2","hurdle",4.22185690831294e-09,-2.896085,-2.134368,0.761717,0.546
"1413","PPP4R1","hurdle",5.67973341779642e-05,-2.594247,-2.067518,0.526729,0.546
"1343","PITPNA","hurdle",0.00478123142146336,-2.572508,-2.060065,0.512443,0.546
"1305","PDE8A","hurdle",0.000153368086880493,-2.713205,-2.109793,0.603412,0.546
"1289","PBX2","hurdle",1.59449665438707e-05,-2.772889,-2.117134,0.655755,0.546
"1096","MED12","hurdle",0.00294623927962491,-2.909153,-2.362708,0.546445,0.546
"1010","LIMK2","hurdle",5.67887828535354e-05,-2.629807,-2.011543,0.618264,0.546
"975","KLHL2","hurdle",0.000356480615078251,-3.060789,-2.413689,0.6471,0.546
"959","KIF1C","hurdle",0.0105739596456667,-2.521163,-2.02068,0.500483,0.546
"627","FAM135A","hurdle",6.58855011874859e-10,-3.098741,-2.30049,0.798251,0.546
"606","EXOC1","hurdle",0.0175177238675498,-2.397197,-1.858307,0.53889,0.546
"604","ETV6","hurdle",0.0152588445990133,-2.346969,-1.846585,0.500384,0.546
"517","DOK4","hurdle",6.2405921157872e-08,-3.105823,-2.329364,0.776459,0.546
"405","CPNE5","hurdle",2.01327553780761e-08,-3.221988,-2.433743,0.788245,0.546
"363","CIC","hurdle",0.00463840118633463,-2.645372,-2.097942,0.54743,0.546
"197","BMP1","hurdle",0.00231453336847017,-2.735712,-2.207701,0.528011,0.546
"68","AGO3","hurdle",0.000139326333077857,-2.315583,-1.807664,0.507919,0.546
"2044","ZBTB46","hurdle",1.98130187228701e-10,-3.111032,-2.3216,0.789432,0.545
"1825","TBC1D22A","hurdle",5.16295175500321e-07,-2.553206,-1.974085,0.579121,0.545
"1798","SYBU","hurdle",0.00706751279132075,-2.598833,-2.071625,0.527208,0.545
"1790","SULF1","hurdle",3.38642788674754e-06,-2.537623,-1.836851,0.700772,0.545
"1767","ST8SIA4","hurdle",0.000127314065861104,-2.655633,-2.148248,0.507385,0.545
"1686","SLC41A1","hurdle",0.000115836916004624,-2.890329,-2.382059,0.50827,0.545
"1657","SIPA1L2","hurdle",9.6179360333042e-07,-2.785341,-2.104293,0.681048,0.545
"1576","RRP12","hurdle",6.83586003560483e-07,-2.60932,-2.013822,0.595498,0.545
"1303","PDE6D","hurdle",0.00174201486059635,-2.384904,-1.850758,0.534146,0.545
"1079","MARCH3","hurdle",2.75324314107018e-06,-2.562891,-1.925325,0.637566,0.545
"985","LACTB","hurdle",0.000140299862762398,-2.675774,-2.135714,0.54006,0.545
"957","KIF17","hurdle",5.98749539676927e-13,-3.29323,-2.528768,0.764462,0.545
"892","IL15RA","hurdle",0.00940877903165432,-2.846971,-2.192501,0.65447,0.545
"814","HIVEP1","hurdle",0.000128388008951374,-2.660498,-2.062615,0.597883,0.545
"479","DDX60L","hurdle",0.0001243796432507,-2.629815,-2.05344,0.576375,0.545
"273","CBX6","hurdle",0.00142154628078282,-2.232589,-1.718473,0.514116,0.545
"269","CASP7","hurdle",0.0626802139672763,-2.541355,-2.034098,0.507257,0.545
"257","CAPN11","hurdle",2.29818893965051e-15,-3.304045,-2.487389,0.816656,0.545
"123","AQP7","hurdle",2.30718980221336e-15,-3.252891,-2.35489,0.898001,0.545
"48","ADCK3","hurdle",3.45289288598712e-05,-2.543873,-1.963919,0.579954,0.545
"2075","ZSWIM6","hurdle",4.6079211619579e-07,-2.734693,-2.163251,0.571442,0.544
"1891","TMEM233","hurdle",9.00371060539674e-15,-3.316779,-2.432647,0.884132,0.544
"1665","SLC12A7","hurdle",0.00843992805481716,-2.674026,-2.114599,0.559427,0.544
"1458","PVR","hurdle",2.0171048332435e-09,-3.096393,-2.38983,0.706563,0.544
"1340","PIP4K2B","hurdle",2.22647430797344e-05,-2.698888,-2.186361,0.512527,0.544
"1281","PALD1","hurdle",1.27256183325359e-06,-3.142971,-2.403959,0.739012,0.544
"1159","MYH10","hurdle",7.03669862034568e-06,-2.731411,-2.117925,0.613486,0.544
"584","EPHA2","hurdle",0.000787372677458219,-2.876661,-2.254904,0.621757,0.544
"500","DMTN","hurdle",1.64706123674084e-06,-3.133594,-2.448039,0.685555,0.544
"485","DGAT1","hurdle",0.000548934045141527,-2.639535,-2.078716,0.560819,0.544
"396","COLGALT1","hurdle",3.80792180619314e-06,-2.651472,-2.006938,0.644534,0.544
"330","CDK10","hurdle",0.00156077544292462,-2.453196,-1.872904,0.580292,0.544
"202","BNC2","hurdle",0.0301511569915631,-2.972226,-2.340907,0.631319,0.544
"160","ATG9A","hurdle",0.027125654618279,-2.779361,-2.210721,0.56864,0.544
"2046","ZCCHC14","hurdle",3.28142633162536e-05,-2.880801,-2.176637,0.704164,0.543
"1988","UHRF2","hurdle",0.0292795546996104,-2.624536,-2.055577,0.568959,0.543
"1813","TAF4B","hurdle",0.00215144537971032,-2.687466,-2.049945,0.637521,0.543
"1810","TAF1","hurdle",0.000110711931714817,-2.608803,-2.072347,0.536456,0.543
"1783","STON1","hurdle",1.84904273070886e-09,-3.160116,-2.482781,0.677335,0.543
"1763","ST6GALNAC1","hurdle",1.44459254924175e-12,-3.290483,-2.517785,0.772698,0.543
"1690","SLC48A1","hurdle",7.58190662047049e-07,-2.669772,-2.049919,0.619853,0.543
"1671","SLC25A13","hurdle",9.56605830880743e-05,-2.457161,-1.935994,0.521167,0.543
"1427","PROX1","hurdle",9.56698472308612e-12,-3.215038,-2.413419,0.801619,0.543
"1308","PDGFD","hurdle",3.57148045360597e-05,-2.945481,-2.187794,0.757687,0.543
"1261","OAS2","hurdle",6.2891993616993e-05,-2.740502,-2.128814,0.611688,0.543
"1166","MYO18A","hurdle",1.43916428492471e-07,-3.055068,-2.3499,0.705168,0.543
"1149","MTMR2","hurdle",0.00154212107952969,-2.815229,-2.220401,0.594828,0.543
"1032","LRMP","hurdle",2.47731234130763e-06,-2.717839,-2.174716,0.543123,0.543
"944","KCMF1","hurdle",0.000990167403938789,-2.471198,-1.926914,0.544284,0.543
"739","GIPC3","hurdle",1.11742803490864e-09,-3.30192,-2.625375,0.676545,0.543
"697","FPGS","hurdle",0.000444862080746138,-2.341417,-1.820868,0.520549,0.543
"630","FAM160A2","hurdle",0.00164821860564453,-2.615051,-2.075212,0.539839,0.543
"623","FAM126A","hurdle",0.000918302850216583,-2.593723,-2.083466,0.510257,0.543
"556","EIF2B2","hurdle",0.00103270953512506,-2.410359,-1.907348,0.503011,0.543
"229","C2CD2","hurdle",3.62181068363762e-08,-2.891204,-2.234508,0.656696,0.543
"2026","WDR37","hurdle",5.80552061600895e-05,-2.832853,-2.27592,0.556933,0.542
"1881","TMEM100","hurdle",1.02423873545795e-21,-3.225464,-2.06566,1.159804,0.542
"1680","SLC30A1","hurdle",0.00448829305794018,-2.640359,-2.086776,0.553583,0.542
"1633","SETD7","hurdle",0.000704225269263924,-2.472683,-1.945264,0.527419,0.542
"1564","RP11-902B17.1","hurdle",5.61656294077594e-10,-3.04929,-2.375641,0.673649,0.542
"1341","PIP5K1C","hurdle",0.000127217443587461,-2.74691,-2.182964,0.563946,0.542
"1328","PGS1","hurdle",1.28745509378962e-05,-2.672018,-1.978981,0.693037,0.542
"1304","PDE7B","hurdle",4.0442091794011e-07,-3.138418,-2.505206,0.633212,0.542
"1019","LIPE","hurdle",2.86308989281433e-13,-3.165919,-2.459812,0.706107,0.542
"501","DMWD","hurdle",2.85316831756261e-05,-2.86758,-2.243005,0.624575,0.542
"466","DACH1","hurdle",5.71662109566525e-06,-2.916336,-2.242817,0.673519,0.542
"358","CHST1","hurdle",4.39884836016031e-08,-3.211273,-2.484743,0.72653,0.542
"332","CDK2","hurdle",9.74047555024868e-07,-2.850132,-2.226809,0.623323,0.542
"313","CD99L2","hurdle",0.0008972214958266,-2.961763,-2.402304,0.559459,0.542
"283","CCDC85A","hurdle",2.9098223144995e-09,-3.260965,-2.506304,0.754661,0.542
"164","ATP10D","hurdle",0.00630171129475992,-2.831438,-2.312558,0.51888,0.542
"153","ASAP2","hurdle",5.22295725089084e-09,-2.960483,-2.225129,0.735354,0.542
"47","ADARB1","hurdle",7.50243601535929e-06,-2.995814,-2.260291,0.735523,0.542
"40","ADAMTS18","hurdle",3.73670989150531e-18,-3.313549,-2.427512,0.886037,0.542
"17","ABO","hurdle",4.9587226303541e-10,-3.256763,-2.559686,0.697077,0.542
"6","ABCC4","hurdle",1.53937870232731e-08,-3.162251,-2.433828,0.728423,0.542
"2049","ZDHHC9","hurdle",0.000202227462591963,-2.530608,-1.989556,0.541052,0.541
"2048","ZDHHC17","hurdle",1.41283681415206e-05,-2.790944,-2.189014,0.60193,0.541
"1966","TTL","hurdle",3.72832310400038e-06,-3.044905,-2.394471,0.650434,0.541
"1822","TAZ","hurdle",0.0237782212711479,-2.552948,-2.024767,0.528181,0.541
"1815","TAL1","hurdle",3.42769207081406e-16,-3.319446,-2.576677,0.742769,0.541
"1773","STARD8","hurdle",3.12722350192002e-09,-3.284211,-2.563799,0.720412,0.541
"1715","SNCA","hurdle",3.24392392665139e-09,-3.099478,-2.391299,0.708179,0.541
"1554","RP11-326I11.3","hurdle",0.000189017544691256,-2.889139,-2.26796,0.621179,0.541
"1478","RAMP2-AS1","hurdle",1.05903982500857e-11,-3.180882,-2.413274,0.767608,0.541
"1442","PTBP2","hurdle",0.00568653521560124,-2.748046,-2.150584,0.597462,0.541
"1301","PDE4C","hurdle",0.00149450303853937,-2.892925,-2.304333,0.588592,0.541
"1272","OSBPL5","hurdle",0.000120490540413435,-2.727558,-2.13866,0.588898,0.541
"1016","LINC01117","hurdle",2.57829878590838e-06,-3.07243,-2.420504,0.651926,0.541
"981","KRBOX4","hurdle",0.00469776063066277,-2.712344,-2.169796,0.542548,0.541
"882","IGF2R","hurdle",8.72942801373862e-05,-2.469511,-1.942675,0.526836,0.541
"862","ICE2","hurdle",0.00130722152004806,-2.420398,-1.889734,0.530664,0.541
"745","GLIS3","hurdle",1.16827706117027e-08,-3.089779,-2.390483,0.699296,0.541
"712","G0S2","hurdle",4.20125544636797e-07,-2.708263,-1.980514,0.727749,0.541
"709","FXYD6","hurdle",2.28241387470361e-05,-2.636955,-2.005114,0.631841,0.541
"686","FMNL2","hurdle",0.0235883455522435,-2.933536,-2.432976,0.50056,0.541
"243","CADM3","hurdle",2.57093777257547e-14,-3.187723,-2.198659,0.989064,0.541
"65","AFAP1L2","hurdle",0.000960259829102262,-2.877603,-2.334927,0.542676,0.541
"1990","UNG","hurdle",2.60038552341858e-05,-2.623646,-2.062302,0.561344,0.54
"1928","TOX2","hurdle",8.4837521521001e-07,-3.183288,-2.503194,0.680094,0.54
"1707","SMC6","hurdle",8.79841886991121e-06,-2.328909,-1.828479,0.50043,0.54
"1546","ROBO1","hurdle",4.6990436465382e-08,-2.925914,-2.251277,0.674637,0.54
"1489","RARS2","hurdle",9.20553826341625e-05,-2.500471,-1.994283,0.506188,0.54
"1367","PLEKHM2","hurdle",0.0690631032972083,-2.80128,-2.26829,0.53299,0.54
"1355","PLCB3","hurdle",7.40913989967999e-06,-2.939002,-2.316226,0.622776,0.54
"1070","MAP3K6","hurdle",0.00344758638232243,-2.87869,-2.355316,0.523374,0.54
"1038","LRRC70","hurdle",4.67258234964684e-13,-3.300647,-2.541236,0.759411,0.54
"893","IL17RA","hurdle",4.13259389564218e-05,-2.686153,-2.143701,0.542452,0.54
"889","IL10RB","hurdle",0.00170966729002831,-2.468571,-1.939051,0.52952,0.54
"677","FLJ20021","hurdle",0.000147564842935765,-2.847084,-2.279418,0.567666,0.54
"199","BMP4","hurdle",4.1540577281179e-08,-2.935586,-2.26392,0.671666,0.54
"192","BDKRB2","hurdle",9.81910536833246e-11,-3.240682,-2.535187,0.705495,0.54
"179","B4GAT1","hurdle",0.00401309326634421,-2.737743,-2.173756,0.563987,0.54
"71","AGPS","hurdle",0.00178153758754319,-2.636918,-2.088531,0.548387,0.54
"45","ADAMTSL1","hurdle",1.34540479796488e-18,-3.292586,-2.429922,0.862664,0.54
"1998","UTP4","hurdle",0.0207075246170684,-2.716326,-2.190491,0.525835,0.539
"1872","TLN2","hurdle",9.65210406890546e-09,-3.052302,-2.396989,0.655313,0.539
"1667","SLC16A14","hurdle",4.11949547869611e-05,-3.147877,-2.467378,0.680499,0.539
"1664","SLC12A6","hurdle",6.09789322797139e-05,-2.973282,-2.465148,0.508134,0.539
"1651","SHC2","hurdle",0.000102205233625239,-3.031175,-2.390967,0.640208,0.539
"1534","RIPK1","hurdle",0.000794536422870072,-2.748765,-2.168148,0.580617,0.539
"1254","NUP50","hurdle",0.00101573419521979,-2.444174,-1.937765,0.506409,0.539
"1110","MICAL3","hurdle",8.14105949949797e-06,-2.878624,-2.263399,0.615225,0.539
"1031","LRIG3","hurdle",0.00384824841101263,-3.049675,-2.436626,0.613049,0.539
"961","KIF3C","hurdle",4.68656254767898e-06,-3.177574,-2.546297,0.631277,0.539
"874","IFIT5","hurdle",1.24853222149761e-05,-2.794169,-2.23952,0.554649,0.539
"680","FLNC","hurdle",5.77592687548352e-11,-3.242882,-2.45799,0.784892,0.539
"643","FAR2","hurdle",0.0115308459479607,-3.048902,-2.484144,0.564758,0.539
"492","DHX38","hurdle",0.000220642389373003,-2.727433,-2.221651,0.505782,0.539
"390","COG4","hurdle",0.000184169194614845,-2.746195,-2.176187,0.570008,0.539
"364","CIITA","hurdle",3.86384607556481e-05,-3.091744,-2.522282,0.569462,0.539
"275","CCDC102A","hurdle",5.96255393221853e-05,-3.028419,-2.42076,0.607659,0.539
"226","C20orf194","hurdle",0.00022743337105209,-2.750762,-2.233765,0.516997,0.539
"167","ATP13A2","hurdle",0.000312146787304544,-2.776024,-2.174132,0.601892,0.539
"1967","TTYH3","hurdle",9.36303603741871e-05,-2.776268,-2.191982,0.584286,0.538
"1627","SERPINE2","hurdle",2.8199021752785e-05,-2.506964,-1.945874,0.56109,0.538
"1432","PRRG1","hurdle",5.08921822040938e-07,-3.230179,-2.518661,0.711518,0.538
"1277","P3H2","hurdle",0.000342214053100685,-3.062721,-2.449799,0.612922,0.538
"1165","MYO15B","hurdle",3.55927942611944e-08,-2.9285,-2.246259,0.682241,0.538
"1147","MTA2","hurdle",8.4998650552561e-07,-2.894745,-2.225397,0.669348,0.538
"958","KIF19","hurdle",4.41465013457633e-14,-3.305635,-2.591856,0.713779,0.538
"949","KCTD15","hurdle",0.000311991198514584,-3.120697,-2.49751,0.623187,0.538
"909","INTS3","hurdle",5.06280049826397e-05,-2.319518,-1.755587,0.563931,0.538
"838","HOXD10","hurdle",2.9017359197902e-12,-3.302417,-2.598369,0.704048,0.538
"796","HAGLR","hurdle",2.52957421467967e-10,-3.273849,-2.590562,0.683287,0.538
"789","GUCY1A3","hurdle",0.000215780207129225,-2.218395,-1.67224,0.546155,0.538
"720","GAN","hurdle",1.44673055300207e-05,-2.829983,-2.193538,0.636445,0.538
"655","FCN3","hurdle",9.13124416336503e-23,-3.307115,-2.255046,1.052069,0.538
"646","FBLN5","hurdle",3.05284554656457e-08,-2.321891,-1.557601,0.76429,0.538
"489","DHH","hurdle",1.40118748470303e-15,-3.311947,-2.527982,0.783965,0.538
"417","CRTAC1","hurdle",3.26819748269186e-08,-3.22623,-2.494095,0.732135,0.538
"340","CEP164","hurdle",0.0229294626333248,-2.493788,-1.988634,0.505154,0.538
"198","BMP2","hurdle",2.6151391281861e-05,-3.123868,-2.507641,0.616227,0.538
"1868","TLCD2","hurdle",0.000393024772928614,-2.99579,-2.409787,0.586003,0.537
"1831","TBXA2R","hurdle",3.14647352990858e-10,-3.252078,-2.541755,0.710323,0.537
"1716","SNCAIP","hurdle",8.38727046047146e-10,-3.25445,-2.569557,0.684893,0.537
"1640","SH2B2","hurdle",0.00110196370989381,-3.170222,-2.611824,0.558398,0.537
"1617","SEMA6C","hurdle",7.9909207943743e-11,-3.196155,-2.494426,0.701729,0.537
"1541","RNF180","hurdle",0.00101143469470108,-3.046533,-2.466135,0.580398,0.537
"1522","RFTN2","hurdle",3.31465294055201e-06,-3.19001,-2.547984,0.642026,0.537
"1420","PRKCE","hurdle",0.00248355772061549,-2.975755,-2.466329,0.509426,0.537
"1178","NADK","hurdle",0.00125942278433295,-2.621817,-2.118111,0.503706,0.537
"1087","MCC","hurdle",0.00165897777711434,-2.748685,-2.199952,0.548733,0.537
"607","EXOC3L1","hurdle",6.16800729198746e-11,-3.193962,-2.477741,0.716221,0.537
"595","ERLIN1","hurdle",9.71818098373511e-06,-2.804074,-2.254092,0.549982,0.537
"563","ELFN1","hurdle",2.75451269966045e-08,-3.294523,-2.585233,0.70929,0.537
"388","CNTNAP3","hurdle",4.41285581696299e-13,-3.283353,-2.584713,0.69864,0.537
"325","CDH24","hurdle",3.63422670404462e-06,-3.271271,-2.689438,0.581833,0.537
"219","C16orf52","hurdle",0.00625606422707656,-2.779665,-2.221941,0.557724,0.537
"208","BTBD3","hurdle",6.98281795599559e-07,-2.927112,-2.328817,0.598295,0.537
"133","ARHGEF10","hurdle",2.19687280848606e-05,-2.802953,-2.187598,0.615355,0.537
"1920","TNMD","hurdle",4.86595737119841e-12,-3.299499,-2.58013,0.719369,0.536
"1903","TMOD2","hurdle",1.91368181551927e-06,-3.057294,-2.436828,0.620466,0.536
"1840","TDRP","hurdle",0.000789881545154387,-2.926223,-2.381961,0.544262,0.536
"1772","STARD4","hurdle",4.08278723658861e-07,-3.046418,-2.41674,0.629678,0.536
"1675","SLC26A2","hurdle",2.62162083335272e-06,-2.747909,-2.1513,0.596609,0.536
"1094","ME3","hurdle",3.4753331193729e-06,-2.744674,-2.241043,0.503631,0.536
"1067","MAP1S","hurdle",3.95436965717839e-05,-2.683864,-2.148423,0.535441,0.536
"1042","LSG1","hurdle",5.44688790503716e-05,-2.517863,-1.956803,0.56106,0.536
"759","GNAZ","hurdle",5.60389471129613e-13,-3.262738,-2.616106,0.646632,0.536
