"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.PVL","log2fold_change","Auc"
"1186","VAMP5","hurdle",6.47972620404145e-27,-1.1582505,-0.3042061,0.8540444,0.629
"723","NDUFB7","hurdle",1.26395565942063e-16,-0.3717981,0.2053479,0.577146,0.629
"648","MAPRE2","hurdle",1.24460070755183e-31,-2.1394729,-0.8234059,1.316067,0.629
"611","LINC01197","hurdle",4.12022563682092e-54,-3.181026,-1.278201,1.902825,0.629
"558","ITIH5","hurdle",1.37784546661633e-58,-2.9278028,-0.9583007,1.9695021,0.629
"399","FBXO32","hurdle",1.15021738946657e-26,-1.6095884,-0.4919735,1.1176149,0.629
"320","DST","hurdle",1.74507322983803e-23,-1.5108566,-0.5569666,0.95389,0.629
"1167","TTLL7","hurdle",2.82400126030361e-49,-3.011361,-1.264508,1.746853,0.628
"869","PRKG1","hurdle",1.4733150853736e-46,-3.050433,-1.18857,1.861863,0.628
"569","KCNE4","hurdle",1.41178901788021e-38,-2.5003757,-0.9002617,1.600114,0.628
"1171","TUBB","hurdle",4.71935020717883e-15,-0.07428239,0.43992719,0.51420958,0.627
"331","ECM2","hurdle",1.30866967595414e-33,-2.889085,-1.21601,1.673075,0.627
"294","CYSTM1","hurdle",1.03159888446709e-24,-0.81536085,-0.05359372,0.76176713,0.627
"1222","ZYX","hurdle",4.89770166674225e-20,-1.0697271,-0.2054428,0.8642843,0.626
"845","PLPP3","hurdle",1.99748798486961e-25,-1.861984,-0.63526,1.226724,0.626
"296","DAAM2","hurdle",3.4169987943759e-45,-3.120261,-1.322199,1.798062,0.626
"200","CD248","hurdle",2.09257412695148e-35,-2.720962,-1.021324,1.699638,0.626
"1029","SLCO3A1","hurdle",1.42335536159169e-29,-2.735797,-1.156964,1.578833,0.625
"699","MYADM","hurdle",4.15412874555865e-18,-0.5154071,0.1443778,0.6597849,0.625
"568","KCNAB1","hurdle",1.27391044576697e-65,-3.237671,-1.216495,2.021176,0.625
"72","ARHGAP1","hurdle",5.45918348971434e-37,-2.2396591,-0.8021968,1.4374623,0.625
"615","LMO4","hurdle",1.40609390677732e-26,-1.7935484,-0.6393521,1.1541963,0.624
"285","CTSL","hurdle",2.24644699892385e-23,-1.5436928,-0.5405158,1.003177,0.624
"401","FERMT2","hurdle",6.14245981717406e-26,-2.053517,-0.838437,1.21508,0.623
"878","PSIP1","hurdle",7.34248803612505e-23,-1.5498883,-0.5796234,0.9702649,0.622
"795","PDE1A","hurdle",2.39064524501191e-42,-3.137787,-1.342653,1.795134,0.621
