"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.PVL","log2fold_change","Auc"
"793","PCSK7","hurdle",3.41048616186293e-12,-1.8478688,-0.9959885,0.8518803,0.581
"509","HSD17B11","hurdle",1.53224324909522e-10,-1.5661872,-0.8971784,0.6690088,0.581
"500","HOPX","hurdle",2.17693959072634e-15,-1.857102,-0.9107229,0.9463791,0.581
"464","GPR4","hurdle",4.99233697147747e-18,-2.833619,-1.61053,1.223089,0.581
"194","CCL21","hurdle",3.29063742535927e-32,-2.894754,-0.961935,1.932819,0.581
"119","BCL6","hurdle",2.54594533164792e-19,-2.660207,-1.466394,1.193813,0.581
"59","ANO1","hurdle",9.95753282580002e-18,-2.376998,-1.276654,1.100344,0.581
"1197","WBP5","hurdle",1.88473160680294e-13,-1.7051277,-0.8765267,0.828601,0.58
"986","SEMA5A","hurdle",9.3861768620457e-22,-2.992747,-1.679776,1.312971,0.58
"400","FBXW5","hurdle",2.15931456660446e-15,-1.718062,-0.960176,0.757886,0.58
"226","CHURC1","hurdle",3.79715853688183e-12,-1.2483054,-0.6241886,0.6241168,0.58
"1010","SH3KBP1","hurdle",5.48752500230791e-09,-1.877594,-1.191731,0.685863,0.579
"851","PMEPA1","hurdle",1.05082573661716e-15,-1.6016143,-0.8033774,0.7982369,0.579
"644","MAP4","hurdle",1.19341358578628e-12,-1.4564171,-0.7571728,0.6992443,0.579
"402","FEZ1","hurdle",2.79693499027075e-24,-3.017483,-1.765823,1.25166,0.579
"281","CTD-3193K9.4","hurdle",9.9534828678376e-25,-3.188211,-1.865099,1.323112,0.579
"198","CCT7","hurdle",3.06711974181621e-10,-1.0890626,-0.5462557,0.5428069,0.579
"90","ARL3","hurdle",1.26312053794751e-15,-1.6637378,-0.9246271,0.7391107,0.579
"1122","TIMP2","hurdle",3.23471944518049e-13,-1.6218636,-0.9187131,0.7031505,0.578
"918","RBMS1","hurdle",6.93724517159436e-11,-1.3973022,-0.7546014,0.6427008,0.578
"482","HACD1","hurdle",2.49825383996785e-26,-3.060641,-1.633471,1.42717,0.578
"350","EMILIN1","hurdle",1.14605531441327e-14,-2.665018,-1.677715,0.987303,0.578
"33","ADI1","hurdle",9.13693273147972e-12,-1.3551917,-0.6806868,0.6745049,0.578
"1137","TMEM38B","hurdle",4.36860259046309e-25,-2.762857,-1.539735,1.223122,0.577
"949","RP11-394O4.5","hurdle",1.13325459792554e-25,-3.252804,-1.756006,1.496798,0.577
"731","NFATC4","hurdle",1.24040863416125e-15,-2.678196,-1.586191,1.092005,0.577
"527","IFI27L2","hurdle",2.83656297332393e-14,-1.6558394,-0.8809531,0.7748863,0.577
"483","HAPLN3","hurdle",3.3539195834377e-08,-2.329605,-1.406529,0.923076,0.577
"332","EDIL3","hurdle",2.8620529677021e-14,-2.979758,-1.773672,1.206086,0.577
"273","CSF1","hurdle",5.80615253633357e-14,-2.600128,-1.466961,1.133167,0.577
"2","A4GALT","hurdle",2.3975242351889e-16,-2.51362,-1.504089,1.009531,0.577
"1112","TEX41","hurdle",3.80245569631188e-32,-3.243067,-1.773313,1.469754,0.576
"974","SBSPON","hurdle",1.06754149310051e-25,-2.916108,-1.546091,1.370017,0.576
"837","PLCE1","hurdle",2.25618031107373e-24,-2.996406,-1.712311,1.284095,0.576
"594","LDB3","hurdle",1.68841809535559e-32,-3.291972,-1.854181,1.437791,0.576
"396","FBXL13","hurdle",9.2576403393978e-30,-3.240812,-1.788136,1.452676,0.576
"351","EMX2","hurdle",8.10265324137456e-35,-3.251374,-1.899464,1.35191,0.576
"207","CDC42EP1","hurdle",2.74364718761077e-11,-1.7405166,-0.9893705,0.7511461,0.576
"1205","YAP1","hurdle",1.78973452160519e-14,-2.4231,-1.429144,0.993956,0.575
"604","LIMS2","hurdle",5.97628454027191e-12,-2.072952,-1.29881,0.774142,0.575
"548","ISG15","hurdle",2.06545065021236e-10,-0.7087972,-0.1729446,0.5358526,0.575
"409","FHL3","hurdle",1.00617689763658e-13,-2.567631,-1.54558,1.022051,0.575
"1089","SYNE1","hurdle",1.09670597019041e-12,-2.25436,-1.333711,0.920649,0.574
"906","RASAL2","hurdle",1.85353623867721e-16,-2.313823,-1.293037,1.020786,0.574
"529","IFIT3","hurdle",3.70528519832624e-10,-2.149685,-1.248291,0.901394,0.574
"519","HYI","hurdle",6.54899207402429e-13,-1.79625,-1.030744,0.765506,0.574
"385","FAM207A","hurdle",3.54460974934576e-21,-2.223806,-1.232545,0.991261,0.574
"380","FAM127B","hurdle",6.36641311766653e-14,-1.5051981,-0.8268305,0.6783676,0.574
"229","CLIC4","hurdle",1.32078579200954e-11,-1.767742,-1.033057,0.734685,0.574
"760","NT5C3B","hurdle",7.27354620958365e-19,-1.911489,-1.046463,0.865026,0.573
"632","MAF1","hurdle",9.35282268546073e-12,-1.2289662,-0.6507987,0.5781675,0.573
"360","EPB41L2","hurdle",5.74521493867516e-14,-2.403797,-1.437868,0.965929,0.573
"158","CACNA1C","hurdle",2.95479864290281e-20,-3.148053,-1.974516,1.173537,0.573
"17","ADAMTS10","hurdle",3.52317033535654e-26,-3.161403,-1.857719,1.303684,0.573
"1148","TNFSF12","hurdle",3.76654372223612e-15,-2.605529,-1.5991,1.006429,0.572
"1141","TMEM74B","hurdle",7.50856560671202e-25,-3.288096,-1.99978,1.288316,0.572
"1069","SRPX","hurdle",2.22059097346242e-15,-2.443511,-1.489957,0.953554,0.572
"987","SEMA5B","hurdle",8.35027599842586e-24,-3.291603,-2.043779,1.247824,0.572
"903","RAP2A","hurdle",6.48797257619802e-13,-2.771821,-1.695594,1.076227,0.572
"880","PSMF1","hurdle",1.73081499942622e-10,-1.402355,-0.812251,0.590104,0.572
"745","NOL3","hurdle",4.04253925526461e-17,-2.518983,-1.525258,0.993725,0.572
"488","HES1","hurdle",5.41835923192699e-09,-0.8328942,-0.2528589,0.5800353,0.572
"435","GADD45A","hurdle",2.57112243284847e-09,-1.6496,-0.9405829,0.7090171,0.572
"389","FAM46A","hurdle",5.90718492981083e-11,-2.099225,-1.240515,0.85871,0.572
"297","DACT3","hurdle",7.3861739469619e-27,-3.204256,-1.829255,1.375001,0.572
"1180","UBE2E1","hurdle",9.7473907693102e-15,-1.826879,-1.056386,0.770493,0.571
"1005","SGCB","hurdle",3.95599135781957e-10,-2.560388,-1.619181,0.941207,0.571
"923","RCN3","hurdle",6.88414045382805e-11,-2.577217,-1.667442,0.909775,0.571
"813","PELO","hurdle",2.01207247240939e-14,-2.501697,-1.476799,1.024898,0.571
"719","NCKAP5","hurdle",4.28008056497989e-24,-3.0274,-1.801228,1.226172,0.571
"600","LGALSL","hurdle",2.49308220297733e-17,-2.914518,-1.770332,1.144186,0.571
"476","GUCY1A2","hurdle",2.28846651528941e-15,-2.732561,-1.604372,1.128189,0.571
"419","FMO2","hurdle",1.47407414254226e-15,-2.742598,-1.478403,1.264195,0.571
"175","CAT","hurdle",5.27279632546658e-11,-1.6649376,-0.9945215,0.6704161,0.571
"159","CACNA1H","hurdle",1.44462001762024e-23,-3.102515,-1.871106,1.231409,0.571
"123","BMP1","hurdle",7.82605741320343e-14,-2.790031,-1.663414,1.126617,0.571
"57","ANKRD10","hurdle",4.76587904714194e-11,-1.2490047,-0.6107476,0.6382571,0.571
"40","AIG1","hurdle",5.63084080961028e-13,-1.682804,-0.981632,0.701172,0.571
"1026","SLC7A2","hurdle",2.26597493351646e-18,-2.674576,-1.541459,1.133117,0.57
"938","RNASEH2C","hurdle",5.66794477603468e-12,-1.2719244,-0.6811083,0.5908161,0.57
"937","RHOQ","hurdle",5.02651541732353e-15,-2.523739,-1.560802,0.962937,0.57
"932","RGMA","hurdle",1.89985822006548e-18,-2.973549,-1.827264,1.146285,0.57
"917","RBM42","hurdle",9.33152135124874e-10,-1.4949867,-0.8848046,0.6101821,0.57
"900","RABGAP1","hurdle",1.71888180530779e-10,-2.404895,-1.464038,0.940857,0.57
"857","POPDC2","hurdle",7.76928119590604e-19,-3.189199,-1.979585,1.209614,0.57
"776","OSBPL9","hurdle",9.7252983863526e-10,-2.051306,-1.246399,0.804907,0.57
"770","OLFML1","hurdle",1.74553889675822e-17,-3.054559,-1.879187,1.175372,0.57
"523","IDH3G","hurdle",2.98658451006962e-13,-1.6697076,-0.9469316,0.722776,0.57
"197","CCR10","hurdle",7.29567685463207e-16,-3.142517,-1.924289,1.218228,0.57
"156","CABP1","hurdle",8.20145719117585e-25,-3.238688,-2.047669,1.191019,0.57
"74","ARHGAP15","hurdle",3.41041156436506e-12,-1.92895,-1.273649,0.655301,0.57
"824","PHLDB1","hurdle",1.89265701560761e-09,-2.429095,-1.502306,0.926789,0.569
"490","HEXIM1","hurdle",1.58176282059456e-10,-1.2425557,-0.6146955,0.6278602,0.569
"462","GPR176","hurdle",7.028977532927e-18,-3.224606,-2.090019,1.134587,0.569
"426","FRMD4A","hurdle",5.67576229748137e-15,-2.399348,-1.426088,0.97326,0.569
"371","F10","hurdle",3.33675586617592e-23,-3.123015,-1.873291,1.249724,0.569
"317","DMPK","hurdle",2.28596900492995e-13,-2.810376,-1.790041,1.020335,0.569
"262","CPED1","hurdle",3.07551973900354e-19,-2.952345,-1.775409,1.176936,0.569
"192","CCL19","hurdle",3.57930608183568e-27,-2.6585135,-0.6059809,2.0525326,0.569
"1144","TNC","hurdle",4.39841634884879e-16,-2.794897,-1.522242,1.272655,0.568
"1054","SORBS1","hurdle",1.1859482343816e-21,-2.883328,-1.662971,1.220357,0.568
"980","SDHA","hurdle",7.28512810934678e-12,-1.763638,-1.097288,0.66635,0.568
"802","PDHB","hurdle",1.04905595883456e-16,-1.861782,-1.173578,0.688204,0.568
"234","CLTB","hurdle",2.11890984856648e-09,-1.0903739,-0.5824109,0.507963,0.568
"109","B3GNT2","hurdle",1.24552190719705e-10,-1.820144,-1.046809,0.773335,0.568
"80","ARHGAP6","hurdle",1.07672436142742e-15,-2.953174,-1.895002,1.058172,0.568
"1218","ZNF22","hurdle",7.65187884808311e-10,-1.783856,-1.087032,0.696824,0.567
"1177","TWSG1","hurdle",2.6557191996955e-13,-2.494681,-1.53085,0.963831,0.567
"991","SEPT11","hurdle",1.06397971279752e-11,-1.664039,-1.009733,0.654306,0.567
"836","PLAU","hurdle",8.58687109446504e-09,-2.487642,-1.654824,0.832818,0.567
"578","KIRREL","hurdle",3.63191948331964e-17,-3.178651,-2.02416,1.154491,0.567
"563","JAM3","hurdle",3.78602072144859e-08,-2.892716,-1.963066,0.92965,0.567
"180","CBR1","hurdle",3.7204037426116e-12,-1.96473,-1.25053,0.7142,0.567
"1070","SSBP2","hurdle",7.56671459307348e-11,-1.854698,-1.152181,0.702517,0.566
"914","RBBP7","hurdle",1.20891978713957e-10,-1.4482302,-0.8416513,0.6065789,0.566
"893","R3HCC1","hurdle",2.36951039283193e-12,-2.318349,-1.470541,0.847808,0.566
"749","NR1H2","hurdle",3.28063763797563e-11,-1.694249,-1.00439,0.689859,0.566
"613","LINGO1","hurdle",4.0193118189562e-20,-3.23684,-2.091997,1.144843,0.566
"437","GALNT16","hurdle",6.42930834557208e-19,-3.081504,-1.878344,1.20316,0.566
"274","CSNK1E","hurdle",5.5658603505355e-12,-1.836253,-1.119262,0.716991,0.566
"1140","TMEM55A","hurdle",2.02758473084005e-14,-2.593445,-1.63682,0.956625,0.565
"997","SERPINB6","hurdle",2.286001520638e-09,-1.4064192,-0.8649879,0.5414313,0.565
"995","SEPT8","hurdle",3.08603686580275e-16,-2.527627,-1.536593,0.991034,0.565
"961","RRAGA","hurdle",1.7270421014272e-08,-1.5198348,-0.9313483,0.5884865,0.565
"957","RP11-983P16.4","hurdle",7.19944214631626e-20,-2.501839,-1.485253,1.016586,0.565
"674","MOB3B","hurdle",1.25754736947715e-11,-2.86645,-1.893147,0.973303,0.565
"614","LIX1L","hurdle",4.06719367889975e-08,-2.444732,-1.652633,0.792099,0.565
"469","GRIP2","hurdle",1.34739271463834e-25,-3.269297,-2.028357,1.24094,0.565
"105","ATP6V1E1","hurdle",1.82679886311966e-08,-1.4906574,-0.9234647,0.5671927,0.565
"75","ARHGAP17","hurdle",1.89885127442314e-10,-2.388057,-1.538704,0.849353,0.565
"53","ANGPTL1","hurdle",1.26711379783684e-26,-3.116309,-1.716168,1.400141,0.565
"1221","ZNF703","hurdle",5.50081703635101e-07,-1.686495,-1.077126,0.609369,0.564
"1188","VASP","hurdle",1.4860764597654e-10,-1.4467192,-0.8708643,0.5758549,0.564
"1064","SPEG","hurdle",8.34078766513969e-24,-3.131938,-1.932109,1.199829,0.564
"1017","SLC25A4","hurdle",1.62075795812907e-14,-1.785926,-1.015905,0.770021,0.564
"871","PROCR","hurdle",5.50145715851867e-14,-2.549217,-1.49171,1.057507,0.564
"517","HTR1F","hurdle",1.3839847792597e-21,-3.299628,-2.148981,1.150647,0.564
"305","DEGS1","hurdle",4.97440293012748e-10,-1.5729298,-0.9282491,0.6446807,0.564
"215","CEBPB","hurdle",6.47153523031318e-11,-1.1056839,-0.4912078,0.6144761,0.564
"145","C2","hurdle",3.66008659716992e-13,-2.915329,-1.93846,0.976869,0.564
"41","AIP","hurdle",1.39176887694518e-09,-1.531098,-0.940933,0.590165,0.564
"37","AFAP1L2","hurdle",3.38849886238263e-14,-2.91939,-1.851747,1.067643,0.564
"1076","STAT6","hurdle",6.79107670211412e-09,-2.26827,-1.544876,0.723394,0.563
"1050","SNX7","hurdle",5.96929729801003e-14,-2.67242,-1.757846,0.914574,0.563
"1044","SNHG18","hurdle",2.4519626948346e-11,-2.858554,-1.910701,0.947853,0.563
"1033","SMARCD3","hurdle",2.59665461864341e-14,-2.749848,-1.792545,0.957303,0.563
"555","ITGB1BP1","hurdle",3.52243631815332e-10,-1.584523,-0.9762531,0.6082699,0.563
"503","HOXC6","hurdle",1.71547621715205e-11,-2.899051,-1.909493,0.989558,0.563
"455","GNG12","hurdle",2.72294421056007e-12,-2.012999,-1.289092,0.723907,0.563
"128","BTG3","hurdle",1.61227901799127e-06,-1.719556,-1.213176,0.50638,0.563
"78","ARHGAP42","hurdle",1.44661778160845e-17,-3.139961,-2.054255,1.085706,0.563
"1213","ZEB1","hurdle",1.49943494719783e-06,-2.002355,-1.38893,0.613425,0.562
"456","GOLIM4","hurdle",4.37795309223184e-08,-2.197861,-1.4417,0.756161,0.562
"422","FOXC2","hurdle",2.79710706569261e-22,-3.266247,-2.118031,1.148216,0.562
"392","FAS","hurdle",4.78288419424988e-11,-2.350634,-1.747918,0.602716,0.562
"348","ELN","hurdle",2.50755887342714e-10,-2.165481,-1.272875,0.892606,0.562
"190","CCDC82","hurdle",1.85432156337514e-08,-2.438443,-1.676706,0.761737,0.562
"1202","WNT6","hurdle",2.44944751461682e-24,-3.239987,-2.038434,1.201553,0.561
"1085","SUSD5","hurdle",4.08671929231744e-28,-3.301632,-2.081907,1.219725,0.561
"847","PLTP","hurdle",1.85431168408525e-11,-2.14697,-1.485621,0.661349,0.561
"794","PCYOX1","hurdle",4.61781231768135e-15,-2.023401,-1.218833,0.804568,0.561
"671","MMP11","hurdle",2.55123812256931e-11,-2.549955,-1.918625,0.63133,0.561
"629","LZTS1","hurdle",9.75940680405591e-14,-3.193046,-2.098262,1.094784,0.561
"572","KCNS3","hurdle",1.06176565031633e-13,-2.718331,-1.817902,0.900429,0.561
"243","CNRIP1","hurdle",5.70962968744271e-08,-2.498747,-1.703471,0.795276,0.561
"10","ACAT1","hurdle",2.08851047303778e-12,-2.001667,-1.256262,0.745405,0.561
"1133","TMEM176B","hurdle",3.34080354197725e-11,-1.7394626,-0.8771996,0.862263,0.56
"1024","SLC43A3","hurdle",2.49634810401709e-09,-2.435664,-1.604233,0.831431,0.56
"982","SELENBP1","hurdle",1.25793738381147e-07,-1.3760952,-0.8567869,0.5193083,0.56
"968","S100A3","hurdle",3.6570730452655e-19,-3.162645,-2.177082,0.985563,0.56
"874","PRR16","hurdle",5.76794098381666e-15,-3.168697,-2.078616,1.090081,0.56
"672","MMP14","hurdle",2.69871629507277e-07,-2.168102,-1.563638,0.604464,0.56
"524","IER5L","hurdle",1.95622536101562e-12,-2.358499,-1.408824,0.949675,0.56
"415","FKBP10","hurdle",1.87918035572374e-10,-1.964122,-1.248296,0.715826,0.56
"357","ENTPD3","hurdle",4.80181269542853e-25,-3.205864,-1.990352,1.215512,0.56
"44","AK3","hurdle",3.98995327740143e-10,-1.59126,-1.03353,0.55773,0.56
"1211","ZBTB20","hurdle",6.54273383328969e-07,-1.56435,-1.015344,0.549006,0.559
"1135","TMEM204","hurdle",1.05989641948092e-05,-2.162793,-1.499685,0.663108,0.559
"1030","SLFN11","hurdle",1.19545856091356e-09,-2.692967,-1.866804,0.826163,0.559
"981","SDHD","hurdle",9.83896180424536e-10,-1.680967,-1.068711,0.612256,0.559
"956","RP11-91J3.3","hurdle",1.12929351869237e-29,-3.306757,-2.132149,1.174608,0.559
"726","NES","hurdle",2.43096310513522e-07,-2.427463,-1.676779,0.750684,0.559
"602","LGMN","hurdle",2.18175740160722e-11,-1.77848,-1.093964,0.684516,0.559
"588","LAMA5","hurdle",1.35240648129021e-09,-2.322756,-1.459984,0.862772,0.559
"486","HDDC2","hurdle",3.06430967583169e-09,-1.683499,-1.071793,0.611706,0.559
"440","GBP1","hurdle",3.34440500412604e-09,-1.953888,-1.189587,0.764301,0.559
"429","FSTL1","hurdle",2.27948316357424e-07,-1.845849,-1.219533,0.626316,0.559
"3","AAED1","hurdle",2.61621520294794e-07,-2.406566,-1.631023,0.775543,0.559
"1182","UNC45A","hurdle",4.19801054064063e-10,-2.295305,-1.544113,0.751192,0.558
"1132","TMEM176A","hurdle",7.74968077309082e-12,-1.8592523,-0.9425706,0.9166817,0.558
"1091","SYNM","hurdle",1.0523287243093e-13,-2.619784,-1.768136,0.851648,0.558
"1046","SNTA1","hurdle",2.08137030985608e-19,-3.041624,-1.983273,1.058351,0.558
"450","GLIPR2","hurdle",0.000263100408061712,-2.218715,-1.595641,0.623074,0.558
"448","GLDN","hurdle",5.32364234164431e-23,-3.219155,-2.056755,1.1624,0.558
"430","FSTL3","hurdle",7.90737277595812e-12,-2.700564,-1.690026,1.010538,0.558
"264","CPQ","hurdle",6.2030442284145e-10,-2.114683,-1.383842,0.730841,0.558
"206","CDC42BPA","hurdle",2.1667111497915e-11,-2.345458,-1.49995,0.845508,0.558
"1007","SGIP1","hurdle",4.06013678279752e-10,-3.05149,-2.105569,0.945921,0.557
"733","NFU1","hurdle",5.46544762344436e-13,-1.926911,-1.21205,0.714861,0.557
"714","NAB1","hurdle",9.86761880003379e-10,-2.663699,-1.835208,0.828491,0.557
"659","MFAP4","hurdle",1.72245330648304e-13,-2.038038,-1.183334,0.854704,0.557
"617","LOXL2","hurdle",9.67850120366657e-08,-2.720757,-1.867065,0.853692,0.557
"457","GPAT2","hurdle",1.19448364992163e-15,-3.080705,-2.019306,1.061399,0.557
"443","GDI1","hurdle",1.94146724657295e-10,-1.647486,-1.000975,0.646511,0.557
"335","EEA1","hurdle",3.37326352209379e-10,-1.70956,-1.080523,0.629037,0.557
"178","CBFA2T3","hurdle",4.67745375330236e-17,-3.07134,-2.0021,1.06924,0.557
"160","CACNA2D1","hurdle",4.66299420995189e-15,-3.065908,-2.057073,1.008835,0.557
"1118","THRA","hurdle",1.93178779331545e-17,-2.524189,-1.553226,0.970963,0.556
"948","RP11-175K6.1","hurdle",1.89743636019986e-16,-3.136219,-2.09658,1.039639,0.556
"840","PLEKHG2","hurdle",4.37192302671766e-09,-2.650808,-1.85829,0.792518,0.556
"832","PIP5K1B","hurdle",1.93530372952892e-20,-3.112926,-1.937026,1.1759,0.556
"829","PICALM","hurdle",4.10110754425181e-08,-1.872089,-1.201145,0.670944,0.556
"777","OSMR","hurdle",6.20295206190573e-10,-2.506389,-1.621382,0.885007,0.556
"724","NDUFB8","hurdle",8.67615956522327e-07,-1.3863149,-0.8806504,0.5056645,0.556
"696","MX2","hurdle",3.10328400462452e-06,-2.297539,-1.66499,0.632549,0.556
"667","MIR22HG","hurdle",4.87719523946622e-10,-1.965565,-1.288723,0.676842,0.556
"664","MICAL1","hurdle",1.16238744728558e-12,-2.773234,-1.860422,0.912812,0.556
"628","LYSMD2","hurdle",2.08908606405615e-11,-2.167276,-1.384686,0.78259,0.556
"556","ITGB5","hurdle",1.27988831034895e-06,-2.254406,-1.548626,0.70578,0.556
"467","GRHPR","hurdle",3.00225062507355e-10,-1.5633868,-0.9848206,0.5785662,0.556
"349","EMC2","hurdle",2.01866586457195e-11,-1.85607,-1.170172,0.685898,0.556
"325","DYNC1LI2","hurdle",2.17853560083743e-09,-1.5174136,-0.9318762,0.5855374,0.556
"212","CDKN1C","hurdle",2.28021502998481e-06,-2.173395,-1.509059,0.664336,0.556
"1155","TRAPPC2L","hurdle",2.01183186540528e-09,-1.3510679,-0.8476331,0.5034348,0.555
"1065","SPG20","hurdle",2.45430045234045e-12,-2.273867,-1.512245,0.761622,0.555
"940","RNF146","hurdle",1.21176033872853e-14,-2.208941,-1.4554,0.753541,0.555
"939","RND3","hurdle",6.46313808867756e-09,-2.172695,-1.449813,0.722882,0.555
"870","PRKRA","hurdle",1.26632398706823e-08,-1.745121,-1.14636,0.598761,0.555
"761","NT5DC2","hurdle",1.52519721417401e-11,-2.404427,-1.566579,0.837848,0.555
"553","ITGA8","hurdle",2.48228201978782e-27,-3.223315,-2.039528,1.183787,0.555
"1194","VSTM4","hurdle",2.95609784660552e-14,-2.982862,-2.132021,0.850841,0.554
"993","SEPT5","hurdle",5.74437343058673e-22,-3.045964,-1.84897,1.196994,0.554
"977","SCN4B","hurdle",4.51565155629944e-24,-3.266512,-2.056669,1.209843,0.554
"902","RALBP1","hurdle",1.56584961574124e-09,-1.525867,-1.0222,0.503667,0.554
"773","OLFML3","hurdle",8.1325895742327e-09,-2.340754,-1.685699,0.655055,0.554
"487","HEPH","hurdle",9.28208768637292e-12,-3.149982,-2.182508,0.967474,0.554
"295","CYTH3","hurdle",6.33569827356552e-09,-2.781832,-1.922514,0.859318,0.554
"291","CYGB","hurdle",2.54312379811416e-12,-2.781496,-1.787905,0.993591,0.554
"895","RAB20","hurdle",1.24427488272663e-13,-2.515061,-1.678136,0.836925,0.553
"534","IGFBP6","hurdle",3.72805483570821e-09,-2.162169,-1.44568,0.716489,0.553
"504","HOXC9","hurdle",8.00792579390235e-12,-2.721718,-1.83522,0.886498,0.553
"397","FBXO17","hurdle",7.19016526681294e-16,-2.901631,-1.965811,0.93582,0.553
"311","DIXDC1","hurdle",2.41327255875935e-15,-2.558372,-1.629917,0.928455,0.553
"276","CSRNP3","hurdle",1.62031395794299e-15,-3.202922,-2.172153,1.030769,0.553
"120","BCL7B","hurdle",6.75570752578205e-11,-1.951668,-1.296114,0.655554,0.553
"118","BCAS3","hurdle",2.59068423556697e-11,-2.772499,-1.946881,0.825618,0.553
"11","ACKR3","hurdle",1.23985957385152e-14,-3.066111,-2.033683,1.032428,0.553
"1098","TAX1BP3","hurdle",0.000190579287985,-2.032613,-1.454751,0.577862,0.552
"1048","SNX18","hurdle",1.73598699285991e-14,-2.566256,-1.753667,0.812589,0.552
"739","NID2","hurdle",3.22716804539544e-08,-2.959555,-2.092932,0.866623,0.552
"716","NBL1","hurdle",8.33582595130734e-09,-2.009727,-1.34951,0.660217,0.552
"712","MYOM1","hurdle",1.97629140862666e-19,-3.256306,-2.188673,1.067633,0.552
"711","MYOCD","hurdle",3.00953560019874e-25,-3.315747,-2.223051,1.092696,0.552
"512","HSPA2","hurdle",4.10765730420181e-07,-1.699097,-1.09287,0.606227,0.552
"352","EMX2OS","hurdle",3.43955353052526e-14,-3.260499,-2.288175,0.972324,0.552
"181","CBX6","hurdle",1.36033744798138e-10,-2.238139,-1.445657,0.792482,0.552
"152","C8orf88","hurdle",1.63761687683442e-12,-3.024803,-2.118175,0.906628,0.552
"56","ANK2","hurdle",1.01281888680244e-06,-2.885232,-2.077831,0.807401,0.552
"1092","SYNPO","hurdle",7.70613237814206e-05,-2.499908,-1.882101,0.617807,0.551
"1083","SULF1","hurdle",0.000359155647555814,-2.495966,-1.784785,0.711181,0.551
"1072","SSRP1","hurdle",1.27816105280511e-11,-1.767105,-1.139241,0.627864,0.551
"990","SEPT10","hurdle",5.38763532861481e-10,-2.006435,-1.31529,0.691145,0.551
"756","NREP","hurdle",2.96582807051012e-08,-2.394841,-1.589345,0.805496,0.551
"695","MVP","hurdle",1.26768166408328e-07,-1.563368,-1.058827,0.504541,0.551
"666","MICU3","hurdle",1.41594145386948e-08,-3.076316,-2.227632,0.848684,0.551
"634","MAGEH1","hurdle",3.34306036666045e-08,-2.230581,-1.561246,0.669335,0.551
"624","LRRC8A","hurdle",5.79654474175998e-07,-2.360301,-1.676027,0.684274,0.551
"427","FRY","hurdle",4.29091068701441e-10,-2.485355,-1.703458,0.781897,0.551
"374","FADS1","hurdle",1.2213675303898e-15,-2.860247,-1.972249,0.887998,0.551
"370","EVA1B","hurdle",4.52929071203222e-12,-2.257034,-1.47352,0.783514,0.551
"361","EPDR1","hurdle",7.00821923192814e-14,-3.101696,-2.172124,0.929572,0.551
"342","EHD1","hurdle",6.59701055100617e-07,-2.213827,-1.561639,0.652188,0.551
"319","DPY19L2","hurdle",1.00329206694232e-16,-3.202153,-2.110743,1.09141,0.551
"270","CRTC3","hurdle",3.2868700166045e-10,-2.231968,-1.542272,0.689696,0.551
"149","C3orf70","hurdle",3.02634991572608e-11,-3.23715,-2.345318,0.891832,0.551
"21","ADAMTS9-AS2","hurdle",2.47749734490059e-11,-2.981817,-2.029468,0.952349,0.551
"8","AC018647.3","hurdle",6.53537330745272e-20,-3.304443,-2.299519,1.004924,0.551
"1109","TEAD2","hurdle",2.90440512597805e-09,-2.423841,-1.726426,0.697415,0.55
"1062","SPATS2L","hurdle",1.35289197153461e-09,-2.06567,-1.417368,0.648302,0.55
"863","PPP1R12C","hurdle",6.20145189002197e-08,-2.701024,-1.927067,0.773957,0.55
"785","PARVA","hurdle",6.95208322939177e-09,-2.044242,-1.362015,0.682227,0.55
"780","P2RY14","hurdle",2.69888770132436e-10,-3.154304,-2.232704,0.9216,0.55
"747","NPNT","hurdle",2.49545159622947e-09,-2.473037,-1.734409,0.738628,0.55
"497","HNMT","hurdle",9.48246950133221e-08,-1.930491,-1.328488,0.602003,0.55
"356","ENTPD1","hurdle",3.02512441379049e-07,-2.155208,-1.595196,0.560012,0.55
"330","ECEL1","hurdle",2.52443065673935e-15,-3.306679,-2.331897,0.974782,0.55
"205","CDC14B","hurdle",3.52644003574536e-10,-3.054426,-2.143181,0.911245,0.55
"201","CD36","hurdle",3.21103891999154e-08,-1.945994,-1.062041,0.883953,0.55
"162","CALCOCO1","hurdle",3.95077029176127e-09,-2.190111,-1.535547,0.654564,0.55
"58","ANKRD29","hurdle",1.63951162682085e-09,-2.274744,-1.51459,0.760154,0.55
"1145","TNFAIP8L3","hurdle",1.06009009407625e-13,-3.240689,-2.358741,0.881948,0.549
"1117","THBS1","hurdle",9.38601904656722e-07,-1.4449473,-0.8417783,0.603169,0.549
"1105","TCEAL7","hurdle",3.1157705098639e-11,-3.07012,-2.089205,0.980915,0.549
"1027","SLC8A1","hurdle",1.41481996586257e-08,-2.777746,-1.985638,0.792108,0.549
"953","RP11-598F7.6","hurdle",6.12963710137954e-22,-3.316225,-2.37142,0.944805,0.549
"858","PPARG","hurdle",6.94531280782916e-11,-2.591019,-1.852035,0.738984,0.549
"852","PMM1","hurdle",1.52762409118279e-09,-2.3553,-1.690831,0.664469,0.549
"843","PLEKHO1","hurdle",1.01313253477908e-09,-2.342371,-1.685849,0.656522,0.549
"811","PEAR1","hurdle",1.01521136899419e-09,-2.965603,-2.161948,0.803655,0.549
