"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.CAFs","log2fold_change","Auc"
"1187","SEPT8","hurdle",0.000356410712377855,-2.474277,-1.736935,0.737342,0.559
"1182","SEC63","hurdle",2.39824157495387e-05,-1.5275051,-0.9921219,0.5353832,0.559
"1108","RECQL","hurdle",0.000226780920188445,-2.141567,-1.482451,0.659116,0.559
"1075","PXDC1","hurdle",8.92350691248171e-06,-2.684006,-1.900046,0.78396,0.559
"942","PCSK5","hurdle",2.46321271299403e-07,-2.905807,-1.925003,0.980804,0.559
"723","LOXL2","hurdle",2.39860475433923e-09,-2.724613,-1.677506,1.047107,0.559
"711","LINC01116","hurdle",6.05516877768063e-07,-2.532417,-1.694504,0.837913,0.559
"673","KIDINS220","hurdle",2.62369313273887e-05,-2.201492,-1.490045,0.711447,0.559
"657","JAG1","hurdle",5.25991907934751e-05,-1.82107,-1.238483,0.582587,0.559
"652","ITM2C","hurdle",2.37649117469277e-05,-1.889854,-1.249125,0.640729,0.559
"290","COL5A3","hurdle",2.36426769807072e-10,-2.968772,-1.867179,1.101593,0.559
"273","CNTN1","hurdle",8.7678868663934e-21,-3.276557,-1.994203,1.282354,0.559
"152","BST1","hurdle",3.41709150264967e-11,-3.061617,-2.111193,0.950424,0.559
"1311","SYNDIG1","hurdle",8.86056699505095e-09,-3.317116,-2.325642,0.991474,0.558
"1151","RUNX1","hurdle",7.76784536999227e-09,-1.689942,-1.056264,0.633678,0.558
"1150","RUFY3","hurdle",1.44793800051335e-05,-2.454835,-1.721746,0.733089,0.558
"1085","RAB3IL1","hurdle",1.19934465345794e-08,-3.120181,-2.126109,0.994072,0.558
"798","MICAL2","hurdle",0.000257020297952686,-2.786334,-1.953748,0.832586,0.558
"770","MAP7D3","hurdle",4.29247759733255e-06,-2.619862,-1.799165,0.820697,0.558
"719","LMO7","hurdle",5.30868787065618e-06,-2.510697,-1.753729,0.756968,0.558
"641","ITGA1","hurdle",0.0555524692795298,-2.206466,-1.609628,0.596838,0.558
"614","IFIT3","hurdle",5.30974443731969e-06,-2.121102,-1.283248,0.837854,0.558
"436","EXTL2","hurdle",0.00180926299124406,-2.817954,-2.021425,0.796529,0.558
"226","CDKN2B","hurdle",1.19488818494223e-14,-3.010948,-1.856007,1.154941,0.558
"224","CDKN1C","hurdle",3.27097905433537e-05,-2.169285,-1.405943,0.763342,0.558
"122","ATN1","hurdle",7.71398711384841e-05,-2.098297,-1.425244,0.673053,0.558
"1273","SPRY2","hurdle",3.93365067700884e-10,-2.931032,-1.959003,0.972029,0.557
"1132","RP11-1000B6.3","hurdle",1.28217209104581e-07,-2.334193,-1.481398,0.852795,0.557
"1101","RBP1","hurdle",0.00163137836488368,-1.820102,-1.266433,0.553669,0.557
"1005","PLXNA1","hurdle",1.13816364088679e-06,-3.012997,-2.172828,0.840169,0.557
"932","PAPLN","hurdle",6.43811210999468e-15,-3.252417,-2.080862,1.171555,0.557
"819","MOXD1","hurdle",1.25458738777203e-16,-3.288284,-2.178151,1.110133,0.557
"799","MICU1","hurdle",2.77299575881226e-05,-2.505516,-1.776247,0.729269,0.557
"595","HOXC6","hurdle",6.59493402299018e-09,-2.872974,-1.901192,0.971782,0.557
"397","DZIP1","hurdle",1.51035256379782e-09,-3.145326,-2.167645,0.977681,0.557
"353","DAAM1","hurdle",5.19872613197875e-07,-1.5728032,-0.9527984,0.6200048,0.557
"62","ALDH1L2","hurdle",1.45300363974267e-16,-3.29094,-2.215254,1.075686,0.557
"4","ABCA10","hurdle",3.94336008182102e-24,-3.289697,-1.874624,1.415073,0.557
"2","AADACL2-AS1","hurdle",4.42342736391285e-24,-3.278117,-1.957913,1.320204,0.557
"1499","ZNF667-AS1","hurdle",7.26227352400529e-05,-2.361926,-1.652738,0.709188,0.556
"1341","TGFBR1","hurdle",0.00394222088707478,-2.525956,-1.83767,0.688286,0.556
"1072","PUM3","hurdle",0.000251784750312731,-2.068186,-1.452126,0.61606,0.556
"956","PDZRN3","hurdle",3.09637579378003e-05,-2.716959,-1.896685,0.820274,0.556
"896","NRXN2","hurdle",2.91221945083337e-07,-3.199893,-2.194369,1.005524,0.556
"858","NDRG2","hurdle",0.000115280695821052,-1.756922,-1.158899,0.598023,0.556
"823","MRAS","hurdle",1.07156230513025e-06,-2.853933,-1.956489,0.897444,0.556
"627","IKBIP","hurdle",5.61618096823383e-07,-2.265747,-1.530014,0.735733,0.556
"561","GREM1","hurdle",1.29616381063135e-27,-3.314858,-1.939509,1.375349,0.556
"435","EXT2","hurdle",8.55457584968162e-07,-2.543731,-1.706377,0.837354,0.556
"392","DTWD1","hurdle",0.000522145973850062,-2.081643,-1.45413,0.627513,0.556
"51","AK3","hurdle",0.000297978164045821,-1.576495,-1.049366,0.527129,0.556
"1408","TSKU","hurdle",4.07758806653806e-09,-2.503656,-1.583579,0.920077,0.555
"1314","SYNPO2","hurdle",0.000472398200505716,-2.234341,-1.556787,0.677554,0.555
"1274","SPSB1","hurdle",4.41255176989024e-05,-2.793084,-1.999189,0.793895,0.555
"1197","SF3A2","hurdle",0.0184960928020874,-1.846524,-1.308925,0.537599,0.555
"1167","SCARB2","hurdle",4.68917816023972e-05,-1.4330951,-0.9079254,0.5251697,0.555
"1046","PRTFDC1","hurdle",1.72832527037401e-11,-3.202974,-2.164274,1.0387,0.555
"733","LRP3","hurdle",2.38266181223435e-09,-2.96356,-1.978927,0.984633,0.555
"586","HGF","hurdle",2.74650953550619e-08,-3.092014,-2.075469,1.016545,0.555
"552","GPC1","hurdle",0.000162060977776502,-2.575074,-1.811682,0.763392,0.555
"472","FEZ1","hurdle",0.0685104938290713,-2.918638,-2.195605,0.723033,0.555
"219","CDC42EP1","hurdle",0.00081483635468665,-1.699708,-1.186337,0.513371,0.555
"3","ABCA1","hurdle",1.17673833181967e-06,-2.611676,-1.811338,0.800338,0.555
"1422","TWIST1","hurdle",2.6236463882915e-14,-3.209746,-2.095506,1.11424,0.554
"1386","TNNT3","hurdle",3.67551383303824e-18,-3.306967,-2.190223,1.116744,0.554
"1369","TMEM30A","hurdle",0.000110853844491989,-1.715185,-1.138731,0.576454,0.554
"1367","TMEM214","hurdle",8.18038359786787e-07,-2.45628,-1.710747,0.745533,0.554
"1297","STMN3","hurdle",2.94067456639164e-06,-2.394748,-1.653695,0.741053,0.554
"1194","SESTD1","hurdle",3.23760654334244e-05,-2.17166,-1.525079,0.646581,0.554
"1163","SAV1","hurdle",2.59736548696481e-08,-2.15846,-1.397643,0.760817,0.554
"1159","SAMD11","hurdle",2.0525828505733e-11,-3.199394,-2.162915,1.036479,0.554
"1083","RAB32","hurdle",2.53095852293734e-09,-2.510759,-1.638585,0.872174,0.554
"992","PLIN3","hurdle",3.7225903581332e-09,-1.853654,-1.187531,0.666123,0.554
"882","NOVA1","hurdle",9.44550811664128e-13,-2.790602,-1.726008,1.064594,0.554
"881","NOV","hurdle",1.83631659994872e-10,-2.815623,-1.639806,1.175817,0.554
"877","NKD2","hurdle",2.31136833346947e-14,-3.263675,-2.189695,1.07398,0.554
"560","GRAMD3","hurdle",9.11123599674228e-05,-2.407675,-1.691277,0.716398,0.554
"535","GLI2","hurdle",4.35185622691527e-09,-3.306486,-2.377601,0.928885,0.554
"531","GJB2","hurdle",8.55317713107786e-23,-3.276177,-2.032932,1.243245,0.554
"322","CSF1","hurdle",1.61708716999965e-05,-2.52154,-1.803714,0.717826,0.554
"139","BHMT2","hurdle",1.26489648039554e-14,-3.305619,-2.228464,1.077155,0.554
"126","AZIN2","hurdle",1.86407361490935e-11,-3.059038,-2.100202,0.958836,0.554
"1393","TP53I3","hurdle",0.00175822924409921,-2.63776,-1.886203,0.751557,0.553
"1302","SUGCT","hurdle",7.79761409799832e-09,-3.218113,-2.245098,0.973015,0.553
"1286","ST3GAL4","hurdle",6.76254297370752e-10,-2.416938,-1.593075,0.823863,0.553
"959","PFN2","hurdle",1.36383603034343e-06,-1.853753,-1.235312,0.618441,0.553
"756","MAF","hurdle",3.3912437754608e-05,-2.156536,-1.585961,0.570575,0.553
"593","HNMT","hurdle",0.000101227770561172,-1.917405,-1.316601,0.600804,0.553
"583","HEXA","hurdle",1.69609048676313e-05,-2.046022,-1.387252,0.65877,0.553
"395","DYNC2H1","hurdle",2.52323008419661e-09,-2.776743,-1.850535,0.926208,0.553
"264","CLSTN1","hurdle",4.04868242989583e-06,-1.949515,-1.288396,0.661119,0.553
"162","C16orf89","hurdle",2.42672039399716e-11,-3.047706,-1.945481,1.102225,0.553
"1468","XPNPEP1","hurdle",0.001024586290918,-2.534913,-1.843456,0.691457,0.552
"1391","TOM1","hurdle",0.00010676750769636,-2.416009,-1.710833,0.705176,0.552
"1221","SLC37A3","hurdle",0.000230408703420693,-2.622101,-1.845147,0.776954,0.552
"1196","SETX","hurdle",0.00786697381447345,-1.996323,-1.489171,0.507152,0.552
"1138","RP11-417E7.2","hurdle",1.29235378397793e-13,-3.310554,-2.25566,1.054894,0.552
"853","NBPF14","hurdle",0.000226470549430202,-1.895008,-1.298444,0.596564,0.552
"795","MGA","hurdle",1.43242851794228e-06,-2.676794,-1.796816,0.879978,0.552
"785","MEIS1","hurdle",3.5548661999339e-12,-3.213399,-2.210893,1.002506,0.552
"451","FAM198B","hurdle",0.000307063193930486,-1.904318,-1.28966,0.614658,0.552
"443","FAF2","hurdle",1.06922774388295e-05,-2.19335,-1.540103,0.653247,0.552
"367","DESI2","hurdle",0.00213212546247999,-1.955048,-1.419575,0.535473,0.552
"321","CRYBG3","hurdle",0.000506022514966872,-2.480143,-1.785959,0.694184,0.552
"146","BMPR2","hurdle",0.0112689557408069,-1.896412,-1.381091,0.515321,0.552
"17","ACVR1","hurdle",0.000538057621465777,-2.830642,-2.052982,0.77766,0.552
"9","ABL1","hurdle",7.90006092031299e-09,-2.823849,-1.937803,0.886046,0.552
"1336","TFDP2","hurdle",2.14813841266486e-05,-1.897381,-1.286805,0.610576,0.551
"1284","SSH1","hurdle",0.0195404546424727,-2.694843,-2.000652,0.694191,0.551
"1210","SHISA4","hurdle",6.33211790000105e-05,-2.485948,-1.801511,0.684437,0.551
"1154","RUSC2","hurdle",2.67310221836612e-09,-3.12047,-2.107751,1.012719,0.551
"1115","RGS4","hurdle",8.56658501459872e-16,-3.243789,-2.123563,1.120226,0.551
"975","PKDCC","hurdle",6.68535563754962e-12,-3.23594,-2.224402,1.011538,0.551
"861","NEK6","hurdle",8.43689962486855e-05,-2.586786,-1.8561,0.730686,0.551
"816","MMP3","hurdle",4.92986138439002e-17,-3.290261,-1.934345,1.355916,0.551
"725","LPIN2","hurdle",5.42935770234169e-05,-2.070998,-1.499172,0.571826,0.551
"697","LAYN","hurdle",0.00315962980721112,-2.690648,-1.991873,0.698775,0.551
"519","GALNT1","hurdle",1.72120300231029e-09,-2.119572,-1.336097,0.783475,0.551
"454","FAM229B","hurdle",1.37671533532768e-05,-2.368299,-1.652389,0.71591,0.551
"396","DYRK2","hurdle",4.36742257144307e-08,-2.848091,-2.021615,0.826476,0.551
"99","ARAP1","hurdle",0.000769259704566036,-2.712652,-1.982856,0.729796,0.551
"60","ALDH1A3","hurdle",1.04517461941678e-16,-2.9938,-1.925258,1.068542,0.551
"21","ADAM33","hurdle",2.71991869840387e-14,-3.227284,-2.085414,1.14187,0.551
"1485","ZFHX3","hurdle",1.60105109865675e-05,-2.174827,-1.527411,0.647416,0.55
"1248","SNED1","hurdle",1.20169211500894e-11,-2.970165,-1.924794,1.045371,0.55
"1241","SMIM20","hurdle",6.29335140667768e-05,-2.218568,-1.5717,0.646868,0.55
"1227","SLC39A7","hurdle",1.84624715613705e-05,-1.79689,-1.23713,0.55976,0.55
"1212","SKI","hurdle",0.00273394289830663,-2.185653,-1.592016,0.593637,0.55
"1049","PTCH2","hurdle",1.48590782094874e-15,-3.191997,-2.054643,1.137354,0.55
"1031","PRICKLE2","hurdle",2.31793999269202e-07,-3.042852,-2.207565,0.835287,0.55
"1027","PREB","hurdle",0.000307566153553525,-2.115341,-1.493435,0.621906,0.55
"923","P4HA1","hurdle",0.00799771712781694,-2.074268,-1.492357,0.581911,0.55
"832","MT1M","hurdle",0.00123517629949377,-1.559102,-1.041131,0.517971,0.55
"830","MSX1","hurdle",1.55741674696344e-06,-2.846063,-1.999182,0.846881,0.55
"807","MLXIP","hurdle",0.000329791976898554,-2.18622,-1.521738,0.664482,0.55
"670","KIAA1217","hurdle",6.81507735114436e-06,-2.166176,-1.507424,0.658752,0.55
"596","HOXC8","hurdle",1.08032908796448e-05,-3.038606,-2.283835,0.754771,0.55
"400","ECHDC2","hurdle",2.5091703218145e-06,-1.58779,-1.039171,0.548619,0.55
"385","DPYD","hurdle",3.94901742967276e-05,-2.461881,-1.795505,0.666376,0.55
"308","CPVL","hurdle",6.63924899790207e-06,-2.552226,-1.759362,0.792864,0.55
"259","CLDN11","hurdle",1.35995129005037e-06,-2.864043,-1.953602,0.910441,0.55
"159","C14orf132","hurdle",6.44847657063388e-07,-3.035866,-2.116715,0.919151,0.55
"145","BMP4","hurdle",1.65157243792008e-09,-2.916756,-1.921494,0.995262,0.55
"129","BACE1","hurdle",1.19957162750324e-08,-2.995808,-2.121376,0.874432,0.55
"65","AMOTL1","hurdle",3.85992081818526e-06,-2.782066,-1.94777,0.834296,0.55
"1136","RP11-400N13.3","hurdle",3.9303479865232e-19,-3.321928,-2.177182,1.144746,0.549
"835","MTMR11","hurdle",1.19244508151147e-05,-3.01506,-2.170115,0.844945,0.549
"776","MATN2","hurdle",3.34320914995587e-09,-2.718626,-1.758576,0.96005,0.549
"760","MAML2","hurdle",3.33446769127821e-05,-2.237933,-1.663073,0.57486,0.549
"684","L3HYPDH","hurdle",0.0163140238009797,-2.928382,-2.255264,0.673118,0.549
"675","KIF26B","hurdle",2.86119441973425e-12,-3.247463,-2.262115,0.985348,0.549
"631","IL33","hurdle",0.10775349582697,-1.999324,-1.461435,0.537889,0.549
"567","GSTM5","hurdle",1.89314521659417e-17,-3.258466,-2.103876,1.15459,0.549
"549","GOLGA3","hurdle",4.68151464745335e-05,-2.487203,-1.790857,0.696346,0.549
"192","CAMTA2","hurdle",0.000430378871216079,-2.745844,-2.030286,0.715558,0.549
"97","APOL2","hurdle",0.00043450412742817,-2.660128,-1.889469,0.770659,0.549
"1492","ZNF469","hurdle",3.52080027225418e-09,-3.266748,-2.372079,0.894669,0.548
"1331","TCN2","hurdle",0.0879560851472922,-2.238912,-1.682461,0.556451,0.548
"1322","TBC1D2B","hurdle",0.0149626466346436,-2.601753,-2.041359,0.560394,0.548
"1171","SCG5","hurdle",8.68249875970396e-11,-3.210909,-2.277236,0.933673,0.548
"1054","PTGFR","hurdle",2.43350270191467e-20,-3.31603,-2.295594,1.020436,0.548
"999","PLPP4","hurdle",1.63626025446748e-15,-3.318396,-2.375999,0.942397,0.548
"828","MSC-AS1","hurdle",9.69811650510589e-08,-3.158118,-2.248117,0.910001,0.548
"817","MN1","hurdle",6.38783732482822e-06,-3.252075,-2.377064,0.875011,0.548
"788","MESDC2","hurdle",4.51820034287389e-06,-1.4838447,-0.9820383,0.5018064,0.548
"729","LRIG3","hurdle",4.78093152220069e-08,-3.027835,-2.153059,0.874776,0.548
"713","LINC01436","hurdle",4.80118640597612e-12,-3.060417,-1.960425,1.099992,0.548
"661","KCNE4","hurdle",0.00737221839195639,-2.327247,-1.646375,0.680872,0.548
"415","EHBP1","hurdle",6.67703500961218e-07,-2.728076,-1.892676,0.8354,0.548
"198","CBX6","hurdle",2.36963499589792e-05,-2.207506,-1.532615,0.674891,0.548
"197","CBR3","hurdle",0.000283697626959252,-2.26043,-1.608058,0.652372,0.548
"179","C5orf15","hurdle",9.42266508604791e-06,-1.692802,-1.15218,0.540622,0.548
"165","C1orf122","hurdle",5.61143632412478e-07,-1.917871,-1.31329,0.604581,0.548
"56","AKT3","hurdle",0.0430054124945035,-2.513604,-1.927925,0.585679,0.548
"1226","SLC39A14","hurdle",3.68120399215686e-05,-2.82103,-2.029364,0.791666,0.547
"1216","SLC16A1-AS1","hurdle",2.78125878547396e-07,-2.96256,-2.11246,0.8501,0.547
"1193","SESN3","hurdle",3.75955158518357e-06,-2.326268,-1.805116,0.521152,0.547
"1162","SASH1","hurdle",0.000365252785436663,-2.092908,-1.524293,0.568615,0.547
"1140","RP11-834C11.4","hurdle",0.000227809140589237,-2.707813,-1.943813,0.764,0.547
"1062","PTPDC1","hurdle",8.47449618496142e-08,-2.989347,-2.121217,0.86813,0.547
"945","PDE4DIP","hurdle",0.00626196154902678,-1.983448,-1.462847,0.520601,0.547
"902","NUMBL","hurdle",0.000170224788213738,-3.038911,-2.246033,0.792878,0.547
"846","MYO1E","hurdle",0.00471102263614492,-2.087455,-1.574543,0.512912,0.547
"638","IRS2","hurdle",0.0026300369728809,-1.888732,-1.327896,0.560836,0.547
"532","GLB1","hurdle",0.000286165461062181,-2.369926,-1.825841,0.544085,0.547
"521","GALNT16","hurdle",9.75588740224285e-10,-3.029301,-1.983424,1.045877,0.547
"393","DVL3","hurdle",0.000580082997141939,-2.59847,-1.890696,0.707774,0.547
"356","DACT1","hurdle",3.65192285635427e-06,-3.228531,-2.447405,0.781126,0.547
"202","CCDC71L","hurdle",2.49921642271458e-07,-2.755704,-1.897145,0.858559,0.547
"151","BSDC1","hurdle",0.000283289075345948,-1.879801,-1.366558,0.513243,0.547
"71","ANGPTL4","hurdle",0.00384915762807892,-1.686495,-1.141429,0.545066,0.547
"13","ACSL4","hurdle",0.00152418579856603,-2.770121,-2.081232,0.688889,0.547
"1482","ZDHHC9","hurdle",1.22533913745504e-05,-2.503982,-1.79601,0.707972,0.546
"1379","TNC","hurdle",5.75996952449338e-12,-2.748837,-1.564708,1.184129,0.546
"1143","RP4-665J23.1","hurdle",2.71910367936388e-06,-3.217155,-2.401435,0.81572,0.546
"1092","RASAL2","hurdle",0.00200549992378251,-2.238482,-1.671138,0.567344,0.546
"966","PHYHIP","hurdle",2.57188821391419e-07,-3.129055,-2.206267,0.922788,0.546
"643","ITGA5","hurdle",0.00118735317256241,-2.204719,-1.598412,0.606307,0.546
"589","HIVEP2","hurdle",0.000260924893318869,-2.887924,-2.136003,0.751921,0.546
"503","FREM1","hurdle",8.09565038380839e-18,-3.295829,-2.153711,1.142118,0.546
"502","FOXP2","hurdle",4.2712056754011e-16,-3.290238,-2.259264,1.030974,0.546
"477","FHAD1","hurdle",3.4824082925656e-12,-3.241063,-2.300586,0.940477,0.546
"425","EPDR1","hurdle",0.00224101448244724,-3.052202,-2.367737,0.684465,0.546
"133","BAZ1B","hurdle",0.000221657785855921,-1.695147,-1.179645,0.515502,0.546
"89","AP1M1","hurdle",0.00256604134573411,-2.306086,-1.758603,0.547483,0.546
"1460","WLS","hurdle",0.000232769787739237,-2.446304,-1.843877,0.602427,0.545
"1416","TTC37","hurdle",5.56253258527151e-05,-1.98693,-1.395092,0.591838,0.545
"1389","TNS3","hurdle",2.30927139065304e-05,-2.554965,-1.811854,0.743111,0.545
"1355","TLN2","hurdle",7.98392570582836e-06,-3.010092,-2.242062,0.76803,0.545
"1340","TGFBI","hurdle",5.64600140326893e-05,-2.152904,-1.55454,0.598364,0.545
"1281","SSBP2","hurdle",1.02681467845716e-05,-1.82804,-1.23465,0.59339,0.545
"1230","SLC43A3","hurdle",0.00244703147057101,-2.39558,-1.759688,0.635892,0.545
"1218","SLC22A17","hurdle",2.44459364435197e-08,-2.678469,-1.843409,0.83506,0.545
"1146","RRAS","hurdle",5.82769703667646e-05,-2.255523,-1.584984,0.670539,0.545
"946","PDGFC","hurdle",8.11548572961522e-06,-3.102207,-2.316899,0.785308,0.545
"476","FGL2","hurdle",0.00086928582589852,-2.288226,-1.655736,0.63249,0.545
"432","ETV1","hurdle",1.42751988172414e-07,-2.993868,-2.120191,0.873677,0.545
"388","DRAM1","hurdle",0.0015719319553498,-2.714805,-2.028931,0.685874,0.545
"319","CRY2","hurdle",0.000324288954613746,-2.766603,-2.035365,0.731238,0.545
"251","CHST14","hurdle",2.7560773729301e-08,-2.919848,-2.090496,0.829352,0.545
"174","C1RL","hurdle",7.34280274496736e-08,-2.469951,-1.691581,0.77837,0.545
"142","BICD2","hurdle",1.52412848950978e-05,-2.716089,-1.988019,0.72807,0.545
"118","ASAP3","hurdle",1.07812851088063e-06,-2.995689,-2.217525,0.778164,0.545
"105","ARHGAP24","hurdle",0.000803456910832227,-2.769245,-2.072922,0.696323,0.545
"93","APOBEC3C","hurdle",4.50309076319195e-05,-2.45034,-1.936676,0.513664,0.545
"1480","ZDHHC1","hurdle",4.04613525300156e-05,-2.761141,-2.064602,0.696539,0.544
"1475","ZBTB4","hurdle",0.000334731741503285,-2.355243,-1.779119,0.576124,0.544
"1424","TWSG1","hurdle",5.90554432060016e-05,-2.431662,-1.829328,0.602334,0.544
"1361","TMEM140","hurdle",0.00479171383891006,-2.630733,-1.985788,0.644945,0.544
"1272","SPRED1","hurdle",1.40005853772621e-06,-2.72194,-1.978992,0.742948,0.544
"1232","SLC6A6","hurdle",7.61767147016194e-06,-2.695329,-1.911366,0.783963,0.544
"1172","SCN7A","hurdle",1.88453173243194e-19,-3.307145,-2.131362,1.175783,0.544
"1166","SCARA5","hurdle",1.08835631695007e-21,-3.312025,-2.176457,1.135568,0.544
"1033","PRKAB2","hurdle",0.00270584898951229,-2.697439,-2.031445,0.665994,0.544
"934","PAPSS2","hurdle",5.88032799259032e-07,-2.949266,-2.153122,0.796144,0.544
"892","NRIP1","hurdle",0.000290364099482075,-2.1046,-1.50753,0.59707,0.544
"865","NFATC4","hurdle",0.00388773985403493,-2.598897,-1.954594,0.644303,0.544
"825","MRGPRF","hurdle",0.00349416437096452,-2.693039,-2.103929,0.58911,0.544
"784","MEGF6","hurdle",6.81785400792667e-12,-3.000472,-1.999103,1.001369,0.544
"780","ME3","hurdle",0.00574941173385028,-2.717214,-2.08454,0.632674,0.544
"775","MAST2","hurdle",4.09285290400935e-09,-2.962764,-2.075843,0.886921,0.544
"762","MAN1C1","hurdle",4.42407866748361e-06,-3.069447,-2.30173,0.767717,0.544
"655","ITSN1","hurdle",1.08574596241283e-07,-2.706654,-1.855917,0.850737,0.544
"573","HAAO","hurdle",6.46310254340544e-05,-3.08304,-2.375072,0.707968,0.544
"557","GPX3","hurdle",0.000191718616970725,-1.892148,-1.191664,0.700484,0.544
"517","GAL3ST4","hurdle",0.000871755640386038,-3.044863,-2.290195,0.754668,0.544
"426","EPHB2","hurdle",1.96643924357022e-08,-3.252873,-2.412806,0.840067,0.544
"370","DIO3OS","hurdle",1.05811623935231e-10,-3.260414,-2.295712,0.964702,0.544
"313","CREB3L2","hurdle",0.00191592743218917,-2.089831,-1.567243,0.522588,0.544
"189","CALHM2","hurdle",2.56954134398031e-05,-2.298461,-1.679272,0.619189,0.544
"183","C8orf88","hurdle",7.11769181698495e-07,-2.998203,-2.136338,0.861865,0.544
"1","A4GALT","hurdle",0.0748784377807002,-2.436203,-1.909391,0.526812,0.544
"1458","WISP1","hurdle",9.55487660512882e-11,-3.289158,-2.383776,0.905382,0.543
"1448","VIPR2","hurdle",1.68915925624287e-09,-3.078544,-2.190983,0.887561,0.543
"1378","TMTC3","hurdle",0.000391053641583539,-2.664899,-2.008097,0.656802,0.543
"1310","SYDE1","hurdle",0.00178059136369711,-2.880654,-2.184861,0.695793,0.543
"1299","STRA6","hurdle",1.49985432882454e-13,-3.292657,-2.365357,0.9273,0.543
"1215","SLC16A1","hurdle",0.00347745168208143,-2.683119,-2.05996,0.623159,0.543
"1213","SLC12A4","hurdle",1.85993555424692e-06,-2.912877,-2.122358,0.790519,0.543
"1125","RNF217","hurdle",4.77396381947507e-06,-3.015723,-2.214096,0.801627,0.543
"1104","RCBTB2","hurdle",0.0424589807480315,-2.695875,-2.128312,0.567563,0.543
"1050","PTEN","hurdle",0.00118993546703944,-2.068541,-1.565263,0.503278,0.543
"787","MEIS3","hurdle",1.34264992446524e-06,-3.030368,-2.212459,0.817909,0.543
"734","LRP6","hurdle",1.20991440650363e-08,-2.683981,-1.828005,0.855976,0.543
"712","LINC01140","hurdle",1.87415226390366e-08,-3.218903,-2.279766,0.939137,0.543
"637","IRS1","hurdle",2.33657612190229e-08,-2.591624,-1.783308,0.808316,0.543
"491","FMNL2","hurdle",0.000452225904938397,-2.916398,-2.189406,0.726992,0.543
"414","EGR3","hurdle",0.00149360461117041,-1.972337,-1.447239,0.525098,0.543
"382","DOK5","hurdle",0.0143916625565046,-3.027851,-2.33713,0.690721,0.543
"315","CRISPLD1","hurdle",8.60988697129606e-10,-2.9002,-2.023107,0.877093,0.543
"161","C15orf61","hurdle",0.00131887010035199,-1.92264,-1.402302,0.520338,0.543
"79","ANKRD65","hurdle",8.11809029349587e-06,-2.953621,-2.207462,0.746159,0.543
"12","ACKR4","hurdle",4.06915441094993e-13,-3.27859,-2.22873,1.04986,0.543
"1500","ZNF704","hurdle",2.38184000093814e-05,-2.534535,-1.845072,0.689463,0.542
"1471","YAP1","hurdle",7.4475846365978e-05,-2.357599,-1.733171,0.624428,0.542
"1430","UBTD2","hurdle",2.30848246380529e-06,-2.77131,-1.961718,0.809592,0.542
"1365","TMEM200A","hurdle",3.96095245348781e-05,-3.184419,-2.363728,0.820691,0.542
"1207","SH3GL1","hurdle",0.0410471507114485,-2.405858,-1.891354,0.514504,0.542
"1111","RGL1","hurdle",0.000341519327943095,-2.96811,-2.276685,0.691425,0.542
"1095","RASSF8","hurdle",1.96392973392691e-06,-3.094085,-2.334841,0.759244,0.542
"1068","PTPRG","hurdle",0.0234313564920777,-2.458851,-1.874681,0.58417,0.542
"1067","PTPRD","hurdle",2.93398418059582e-09,-3.310697,-2.491985,0.818712,0.542
"1058","PTGR1","hurdle",2.29832662838658e-06,-2.041961,-1.423852,0.618109,0.542
"1053","PTGES","hurdle",3.94545754038173e-06,-2.720862,-1.875102,0.84576,0.542
"1040","PROCR","hurdle",2.96210714627713e-05,-2.468314,-1.897446,0.570868,0.542
"1023","PRADC1","hurdle",7.93759408288933e-05,-2.486267,-1.87392,0.612347,0.542
"965","PHYHD1","hurdle",4.88982950638157e-05,-2.407009,-1.808803,0.598206,0.542
"826","MSANTD3","hurdle",7.08282732465898e-07,-2.982166,-2.247591,0.734575,0.542
"732","LRP12","hurdle",0.155400152542864,-3.131255,-2.494877,0.636378,0.542
"698","LCA5","hurdle",7.86816550671776e-05,-2.805701,-2.127161,0.67854,0.542
"683","KREMEN1","hurdle",5.53388232646435e-10,-3.148921,-2.283355,0.865566,0.542
"444","FAM109B","hurdle",0.00229170264490695,-2.995886,-2.29702,0.698866,0.542
"368","DFNA5","hurdle",0.0065273740771385,-3.134785,-2.428514,0.706271,0.542
"344","CXCL9","hurdle",4.4379887131566e-09,-2.863423,-1.680518,1.182905,0.542
"265","CLSTN3","hurdle",0.000148694028244903,-2.624881,-1.93137,0.693511,0.542
"256","CIZ1","hurdle",5.22561622865869e-06,-2.54913,-1.849989,0.699141,0.542
"249","CHRD","hurdle",2.70859638651896e-05,-3.051453,-2.295632,0.755821,0.542
"230","CDR1-AS","hurdle",1.7439131951617e-12,-3.291386,-2.364093,0.927293,0.542
"143","BLOC1S6","hurdle",8.7125587462676e-05,-2.022552,-1.447579,0.574973,0.542
"130","BACH2","hurdle",0.000238895370548994,-2.921702,-2.172998,0.748704,0.542
"115","ARMCX2","hurdle",2.96541849493253e-06,-2.404221,-1.741113,0.663108,0.542
"111","ARL13B","hurdle",0.00140232621332845,-2.280498,-1.719281,0.561217,0.542
"91","APBB2","hurdle",0.000396415666028921,-2.237477,-1.643101,0.594376,0.542
"1455","WDFY1","hurdle",0.000260064861055721,-2.377943,-1.762157,0.615786,0.541
