"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Cancer_Epithelial","log2fold_change","Auc"
"1308","KRT19","hurdle",0,-1.329663,1.639225,2.968888,0.95
"1307","KRT18","hurdle",0,-1.362492,1.41108,2.773572,0.936
"213","AZGP1","hurdle",0,-1.198478,1.485069,2.683547,0.925
"2746","TSTD1","hurdle",0,-1.484969,1.062959,2.547928,0.923
"65","AGR2","hurdle",0,-1.871974,1.286601,3.158575,0.919
"2383","SMIM22","hurdle",0,-2.5119632,0.6439009,3.1558641,0.916
"2429","SPINT2","hurdle",0,-1.323554,1.118426,2.44198,0.911
"967","FXYD3","hurdle",0,-1.941644,0.8995423,2.8411863,0.911
"802","ELF3","hurdle",0,-1.837159,1.204205,3.041364,0.909
"1311","KRT8","hurdle",0,-1.424881,1.089953,2.514834,0.908
"2876","XBP1","hurdle",0,-0.4739619,1.4449002,1.9188621,0.903
"587","CRABP2","hurdle",0,-1.8651301,0.8892555,2.7543856,0.895
"439","CD24","hurdle",0,-1.8274703,0.9652355,2.7927058,0.89
"2740","TSPAN13","hurdle",0,-1.3556017,0.9611723,2.316774,0.889
"104","ANKRD30A","hurdle",0,-2.4877956,0.7771627,3.2649583,0.888
"512","CLDN4","hurdle",0,-1.521416,1.138481,2.659897,0.887
"2910","ZG16B","hurdle",0,-2.5580043,0.4261511,2.9841554,0.884
"66","AGR3","hurdle",0,-2.1755155,0.9374351,3.1129506,0.882
"511","CLDN3","hurdle",0,-2.3219104,0.7858684,3.1077788,0.88
"980","GATA3","hurdle",0,-1.6905149,0.7493628,2.4398777,0.878
"645","CYB5A","hurdle",0,-1.1410578,0.8122955,1.9533533,0.868
"1481","MLPH","hurdle",0,-2.3708163,0.2864475,2.6572638,0.864
"1933","PPDPF","hurdle",0,0.5210331,1.6187582,1.0977251,0.862
"674","DCXR","hurdle",0,-1.2923073,0.7175632,2.0098705,0.862
"513","CLDN7","hurdle",0,-2.2712098,0.3655142,2.636724,0.852
"2353","SLC39A6","hurdle",9.88131291682493e-324,-1.5689316,0.8750875,2.4440191,0.85
"2421","SPDEF","hurdle",0,-2.6554175,0.1353553,2.7907728,0.847
"2024","PYCARD","hurdle",1.87392273185966e-291,-1.6266075,0.5989804,2.2255879,0.844
"1078","H2AFJ","hurdle",4.15917924252983e-308,-0.818004,0.9938816,1.8118856,0.844
"2729","TRPS1","hurdle",3.04744160470839e-269,-2.0153971,0.2808193,2.2962164,0.841
"683","DEGS2","hurdle",6.07700744384733e-322,-2.88704016,0.08016321,2.96720337,0.84
"2816","UQCRQ","hurdle",6.35284833243846e-283,-0.300684,1.00548,1.306164,0.837
"2446","SRP9","hurdle",6.74319350121717e-273,-0.6281938,0.8336836,1.4618774,0.832
"1046","GPX4","hurdle",6.62985831948461e-260,0.1274798,1.1819358,1.054456,0.83
"1044","GPRC5A","hurdle",9.23740334333753e-314,-2.2961301,0.3638698,2.6599999,0.828
"2046","RAB25","hurdle",3.0580812128019e-250,-2.725546,-0.153388,2.572158,0.824
"2211","S100A14","hurdle",0,-2.6011705,0.7570127,3.3581832,0.82
"2467","STARD10","hurdle",1.87826114061483e-313,-2.3106629,0.2794866,2.5901495,0.819
"1464","MIF","hurdle",1.80155486936929e-224,0.1428387,1.3400105,1.1971718,0.818
"1821","PERP","hurdle",1.97481194556526e-270,-1.176211,0.5748706,1.7510816,0.816
"2380","SMIM14","hurdle",1.81510177721359e-254,-1.4821881,0.3716208,1.8538089,0.815
"1081","H3F3A","hurdle",3.7870410453197e-202,1.065683,1.633362,0.567679,0.814
"1582","MUC1","hurdle",0,-2.7298982,0.2452635,2.9751617,0.81
"581","COX6C","hurdle",1.01047338392642e-235,0.3060064,1.4317073,1.1257009,0.81
"1552","MRPS34","hurdle",2.96079158518523e-233,-1.4162212,0.2581411,1.6743623,0.807
"485","CHCHD2","hurdle",9.07543839188239e-214,0.4830056,1.2755991,0.7925935,0.807
"88","ALDOA","hurdle",1.44922830804438e-221,0.297365,1.232951,0.935586,0.807
"1457","MGST1","hurdle",1.5164158000466e-306,-1.9699539,0.5636697,2.5336236,0.805
"1691","NME4","hurdle",2.17167865062447e-227,-1.6361436,0.1861757,1.8223193,0.804
"855","ESR1","hurdle",1.07769298385625e-248,-2.70974635,0.01598441,2.72573076,0.804
"1690","NME3","hurdle",5.50381585633983e-222,-1.0594726,0.4330774,1.49255,0.803
"1872","PIP","hurdle",0,-1.947018,1.158768,3.105786,0.802
"2364","SLC9A3R1","hurdle",1.62773199442822e-219,-1.3644761,0.4792773,1.8437534,0.801
"1319","LAMTOR2","hurdle",9.13459397125664e-203,-1.2293777,0.3168146,1.5461923,0.799
"443","CD9","hurdle",4.09794507970284e-223,-0.3409158,0.9815633,1.3224791,0.799
"1775","PAFAH1B3","hurdle",3.59086047682776e-231,-2.12731364,-0.05205859,2.07525505,0.798
"98","ANAPC11","hurdle",4.94476088542979e-213,-0.5389423,0.7372195,1.2761618,0.798
"130","AR","hurdle",8.80589686724017e-203,-2.5760219,-0.2358534,2.3401685,0.796
"124","APOA1BP","hurdle",2.02746344395454e-188,-1.6265478,0.1577264,1.7842742,0.796
"2477","STRA13","hurdle",1.98560233796659e-201,-1.5970021,0.1568308,1.7538329,0.794
"442","CD46","hurdle",4.70911868402963e-185,-1.277564,0.2839437,1.5615077,0.793
"2542","TCEB2","hurdle",3.2209531178476e-200,-0.03828275,0.94283183,0.98111458,0.792
"1984","PRSS8","hurdle",3.01088845599225e-200,-2.9589127,-0.3903672,2.5685455,0.791
"830","EPCAM","hurdle",1.39737320409679e-248,-2.38069981,-0.07477173,2.30592808,0.791
"1410","MAL2","hurdle",1.84773173240067e-229,-2.9368743,-0.3454588,2.5914155,0.79
"1014","GLUL","hurdle",1.23277526239064e-202,-0.4027897,0.9016108,1.3044005,0.79
"2558","TFF3","hurdle",8.29213022965337e-266,-2.6913404,0.1560569,2.8473973,0.789
"742","DSP","hurdle",5.7463183148797e-184,-2.2190788,-0.1099312,2.1091476,0.788
"1494","MPC2","hurdle",4.11535167985043e-182,-1.1609957,0.3970838,1.5580795,0.787
"2516","TACSTD2","hurdle",7.3619048532562e-207,-1.38727,0.5146995,1.9019695,0.786
"2227","SCCPDH","hurdle",1.13310682848196e-167,-2.0981256,-0.1013924,1.9967332,0.786
"1179","HSPB1","hurdle",3.19340623072404e-193,0.5567328,1.529365,0.9726322,0.786
"2702","TPD52","hurdle",1.22326694076787e-217,-2.28861139,-0.09409951,2.19451188,0.785
"2420","SPCS1","hurdle",4.33788900525782e-184,-0.3530999,0.7751879,1.1282878,0.784
"324","C1orf64","hurdle",2.17169567333422e-249,-2.9722257,-0.3045342,2.6676915,0.78
"1077","H1F0","hurdle",1.84027715313742e-172,-1.4788979,0.2645014,1.7433993,0.779
"923","FASN","hurdle",2.65148139938728e-192,-2.5353985,-0.1598279,2.3755706,0.779
"2093","RBM47","hurdle",5.21220872078726e-156,-2.5477105,-0.3594633,2.1882472,0.778
"1793","PCBD1","hurdle",1.01685961201999e-174,-1.52959255,0.08778785,1.6173804,0.778
"361","CA12","hurdle",6.47028447117843e-191,-2.720713,-0.326488,2.394225,0.778
"2210","S100A13","hurdle",1.36621808421981e-164,-0.8559936,0.6381275,1.4941211,0.777
"1790","PBX1","hurdle",3.79268407466857e-161,-1.83914149,-0.05968655,1.77945494,0.777
"1650","NDUFB10","hurdle",7.11939621742474e-188,-0.5200054,0.6208445,1.1408499,0.777
"1646","NDUFAB1","hurdle",1.82081684594044e-167,-0.987053,0.3381825,1.3252355,0.777
"2603","TMED3","hurdle",1.47690614667697e-152,-1.724604102,-0.008115609,1.716488493,0.776
"299","C16orf13","hurdle",1.58048099719667e-174,-1.1950379,0.2344162,1.4294541,0.776
"998","GGCT","hurdle",7.8097093218537e-155,-1.81024101,-0.08312403,1.72711698,0.775
"1257","JTB","hurdle",2.83091078853072e-165,-0.7363927,0.4879921,1.2243848,0.774
"1463","MIEN1","hurdle",1.13164108788503e-167,-1.48049384,0.05385724,1.53435108,0.773
"166","ASAH1","hurdle",1.81800305460182e-180,-1.1063889,0.3048246,1.4112135,0.773
"2245","SDC4","hurdle",9.30294936445617e-170,-1.941261647,-0.007104709,1.934156938,0.77
"579","COX6A1","hurdle",1.89799758797169e-166,0.05314735,0.9550696,0.90192225,0.77
"2232","SCGB2A2","hurdle",7.6205698049365e-311,-1.335514,1.679559,3.015073,0.769
"2271","SERINC2","hurdle",5.76590294328408e-153,-2.4130498,-0.3691287,2.0439211,0.768
"427","CCND1","hurdle",2.89165803358237e-184,-1.666449,0.276207,1.942656,0.768
"841","ERBB3","hurdle",1.8320130632126e-158,-2.767238,-0.5309247,2.2363133,0.766
"1368","LRRC26","hurdle",3.90728446704343e-194,-2.892408,-0.371399,2.521009,0.765
"1136","HMGN1","hurdle",1.6681620142821e-169,-0.3105467,0.743799,1.0543457,0.765
"438","CD164","hurdle",5.99547260077797e-167,-0.8319195,0.3838661,1.2157856,0.765
"1536","MRPL55","hurdle",1.03279522600013e-135,-1.7130801,-0.1351732,1.5779069,0.763
"779","EFHD1","hurdle",6.89624662823341e-175,-1.51354411,0.03696201,1.55050612,0.763
"1968","PRLR","hurdle",1.2518230173355e-152,-2.8770878,-0.5931922,2.2838956,0.76
"1683","NHP2","hurdle",5.69412755681369e-147,-0.9150633,0.3410636,1.2561269,0.759
"780","EFNA1","hurdle",9.36991146756834e-149,-1.6050824,0.2226006,1.827683,0.759
"743","DSTN","hurdle",2.5531760845508e-184,0.136221,1.073944,0.937723,0.759
"1042","GPR160","hurdle",1.53195441266245e-149,-2.8517966,-0.6192738,2.2325228,0.758
"251","BHLHE40","hurdle",3.52804548926562e-132,-1.1105635,0.3060168,1.4165803,0.757
"1658","NDUFB9","hurdle",8.89399806904146e-154,-0.4986243,0.5694149,1.0680392,0.756
"2230","SCGB1D2","hurdle",2.21803371525309e-243,-2.3476716,0.7787955,3.1264671,0.754
"1956","PRDX2","hurdle",1.55652318902232e-144,-0.5465832,0.55739,1.1039732,0.754
"892","FAM173A","hurdle",6.42282956629767e-137,-1.9484112,-0.2546773,1.6937339,0.754
"1395","LYPLA1","hurdle",1.28217401833184e-149,-1.64420721,-0.05704097,1.58716624,0.753
"1310","KRT7","hurdle",6.92653586825808e-198,-1.4992744,0.3490787,1.8483531,0.752
"2690","TOMM20","hurdle",1.95030412529941e-141,-0.4564509,0.5780014,1.0344523,0.751
"2114","RHOB","hurdle",7.82454658179521e-159,0.1306582,1.1306363,0.9999781,0.751
"1190","IER3","hurdle",4.65633875544309e-149,-0.4249944,0.8394756,1.26447,0.751
"957","FOXA1","hurdle",5.83606699050339e-158,-3.0783018,-0.5351467,2.5431551,0.751
"201","ATP6V1G1","hurdle",9.72314006719148e-145,0.143719,0.9490661,0.8053471,0.751
"2638","TMEM219","hurdle",5.94306874384596e-139,-0.7033,0.4151818,1.1184818,0.75
"2618","TMEM141","hurdle",1.78660774784439e-132,-1.7040738,-0.1570872,1.5469866,0.75
"1405","MAGED2","hurdle",1.94265336350478e-150,-0.8398388,0.5255026,1.3653414,0.749
"254","BLVRB","hurdle",4.20553526241375e-156,-1.49724679,0.05711901,1.5543658,0.749
"2812","UQCR11","hurdle",2.17509815427354e-138,-0.344801,0.6291159,0.9739169,0.747
"1537","MRPL57","hurdle",1.42290157780337e-100,-1.1462766,0.1331198,1.2793964,0.747
"504","CISD3","hurdle",2.75603126277426e-121,-1.8955168,-0.2961608,1.599356,0.747
"1525","MRPL41","hurdle",6.24734391998881e-145,-1.1077822,0.1270518,1.234834,0.746
"594","CREB3L4","hurdle",2.43471906547249e-120,-2.6380024,-0.6075291,2.0304733,0.746
"601","CRNDE","hurdle",7.10520131677697e-100,-2.163106,-0.4001,1.763006,0.744
"188","ATP5G2","hurdle",8.31662993029922e-132,0.6714135,1.241624,0.5702105,0.744
"1891","PLPP2","hurdle",2.26889164050122e-140,-2.2983361,-0.3923494,1.9059867,0.743
"183","ATP1B1","hurdle",2.01708638367182e-118,-1.7549363,-0.1841128,1.5708235,0.743
"1665","NDUFS8","hurdle",1.60774359827317e-133,-0.9759625,0.194386,1.1703485,0.742
"1651","NDUFB11","hurdle",2.20079968225878e-139,-0.4959898,0.5037105,0.9997003,0.742
"1601","MYO6","hurdle",5.41071037094305e-101,-1.949273,-0.3480678,1.6012052,0.742
"542","COA3","hurdle",7.15989436418095e-128,-1.5234558,-0.1011734,1.4222824,0.742
"2700","TP53TG1","hurdle",1.48493651749483e-106,-2.0765575,-0.3849828,1.6915747,0.741
"2684","TNNT1","hurdle",1.86929212039577e-198,-3.1752668,-0.6249838,2.550283,0.741
"2504","SYNGR2","hurdle",1.77951536613603e-149,-0.6879437,0.4244956,1.1124393,0.741
"1878","PKIB","hurdle",1.62287057129718e-160,-2.8310227,-0.5116033,2.3194194,0.741
"2829","VDAC1","hurdle",5.24659414076083e-129,-0.9979348,0.2084518,1.2063866,0.74
"287","C11orf31","hurdle",1.05881598863619e-133,-0.5960004,0.4376986,1.033699,0.74
"2553","TFAP2A","hurdle",1.66870124967766e-114,-2.6391505,-0.6144499,2.0247006,0.738
"2404","SNRPE","hurdle",1.52251872019006e-137,-1.0219916,0.1678568,1.1898484,0.738
"1114","HIST1H2AC","hurdle",1.78661570196567e-131,-2.1531922,-0.2915119,1.8616803,0.738
"2038","RAB11FIP1","hurdle",8.2500045558977e-121,-1.8718548,-0.2052761,1.6665787,0.737
"2825","VAMP8","hurdle",5.63389601144245e-165,-0.7662708,0.3660611,1.1323319,0.736
"2272","SERP1","hurdle",3.63507839512456e-128,-0.1144525,0.7590849,0.8735374,0.736
"1659","NDUFC1","hurdle",3.33688023788146e-99,-1.13994643,0.06015364,1.20010007,0.735
"1109","HINT1","hurdle",2.46642266793619e-121,0.6943677,1.2639766,0.5696089,0.735
"1084","HACD3","hurdle",1.36998301285151e-119,-1.5695078,-0.1238144,1.4456934,0.735
"2635","TMEM205","hurdle",1.08873009398966e-122,-1.35219852,-0.06590604,1.28629248,0.733
"1605","MZT2B","hurdle",1.40074064826289e-133,-1.1218238,0.2183981,1.3402219,0.732
"663","DBI","hurdle",4.47370605085103e-105,-0.1916576,0.7304972,0.9221548,0.732
"588","CRACR2B","hurdle",7.67209643967957e-122,-2.1558839,-0.3871115,1.7687724,0.732
"2674","TMEM99","hurdle",2.72969737591942e-106,-2.5074746,-0.6462665,1.8612081,0.731
"2264","SEMA3C","hurdle",1.81149685665097e-100,-2.6029429,-0.5322469,2.070696,0.731
"1316","LAGE3","hurdle",6.78643769079327e-98,-1.8235813,-0.3122289,1.5113524,0.731
"895","FAM195A","hurdle",6.44180607398309e-98,-2.6253217,-0.7469101,1.8784116,0.731
"2620","TMEM147","hurdle",4.01833480149082e-119,-1.28573613,-0.03988563,1.2458505,0.73
"2526","TBC1D9","hurdle",8.7697649472879e-123,-2.4367598,-0.4866459,1.9501139,0.73
"578","COX5B","hurdle",4.22255184423702e-118,-0.1239782,0.7089654,0.8329436,0.729
"322","C1orf43","hurdle",2.88391051241999e-126,-0.8894168,0.1930961,1.0825129,0.729
"13","ABHD11","hurdle",3.52477424837075e-101,-2.7232901,-0.7129608,2.0103293,0.729
"2839","VMP1","hurdle",2.66539927037314e-108,-0.4846979,0.5658911,1.050589,0.728
"2764","TXNDC17","hurdle",1.28759233647689e-87,-1.31386466,-0.06815113,1.24571353,0.728
"1652","NDUFB2","hurdle",2.1460632515975e-120,-0.2725093,0.6067947,0.879304,0.728
"2539","TCEAL3","hurdle",5.51593510773209e-90,-1.7967726,-0.3329778,1.4637948,0.727
"1383","LSM5","hurdle",3.61513099548078e-99,-1.173884283,0.005013003,1.178897286,0.727
"948","FLYWCH2","hurdle",3.20782662480818e-89,-1.7292906,-0.3510893,1.3782013,0.727
"690","DHCR24","hurdle",2.78939357336185e-95,-2.6888818,-0.7426483,1.9462335,0.727
"678","DDR1","hurdle",9.20407275161767e-104,-2.6247706,-0.6890318,1.9357388,0.727
"487","CHCHD5","hurdle",5.80767994887482e-94,-1.8057334,-0.3738653,1.4318681,0.727
"636","CUTA","hurdle",7.02194609809883e-122,-0.5119218,0.4570172,0.968939,0.726
"333","C3orf14","hurdle",4.86176482860666e-129,-2.415812,-0.4847863,1.9310257,0.726
"93","ALKBH7","hurdle",1.86446456614538e-114,-1.0002568,0.1237743,1.1240311,0.725
"2809","UQCC2","hurdle",2.68357605360662e-76,-1.8074221,-0.3956404,1.4117817,0.724
"2799","UGDH","hurdle",6.49962556373271e-133,-2.132026,-0.3122937,1.8197323,0.724
"2428","SPINT1","hurdle",4.23238749529794e-77,-2.5639341,-0.7630398,1.8008943,0.724
"2249","SDHC","hurdle",4.65220777503031e-106,-1.12851278,0.01151892,1.1400317,0.724
"1548","MRPS26","hurdle",1.04044635753493e-79,-1.8694978,-0.4325458,1.436952,0.724
"893","FAM174A","hurdle",1.98565408847476e-102,-2.1119836,-0.5288641,1.5831195,0.724
"2025","PYCR1","hurdle",5.44524466398305e-104,-2.7729188,-0.7895032,1.9834156,0.723
"1677","NENF","hurdle",4.69249407739542e-112,-1.3373731,-0.03545321,1.30191989,0.723
"1067","GTF2H5","hurdle",8.21405216401036e-90,-1.3886907,-0.1539901,1.2347006,0.723
"821","ENSA","hurdle",1.96355487966734e-116,-0.922217,0.1418326,1.0640496,0.723
"191","ATP5J2","hurdle",3.95416344720992e-101,-0.7009741,0.3292867,1.0302608,0.723
"185","ATP5D","hurdle",1.61999030099094e-117,-0.1898221,0.6305448,0.8203669,0.723
"2602","TMED2","hurdle",1.66648503022832e-116,-0.7780305,0.2510055,1.029036,0.722
"1313","KRTCAP3","hurdle",4.15300666077781e-84,-2.7317859,-0.8600849,1.871701,0.722
"1258","JUP","hurdle",1.38177459837252e-73,-2.157063,-0.5616213,1.5954417,0.722
"978","GALNT7","hurdle",1.30069734027241e-99,-2.5938461,-0.7059128,1.8879333,0.722
"2710","TRAF4","hurdle",5.01508694747091e-100,-1.9369372,-0.3947234,1.5422138,0.721
"2237","SCOC","hurdle",6.4577658668589e-79,-1.6663513,-0.3329972,1.3333541,0.72
"1516","MRPL24","hurdle",1.30451940211583e-91,-1.711034,-0.351816,1.359218,0.72
"1382","LSM4","hurdle",9.80666681012835e-113,-1.4340996,-0.1852873,1.2488123,0.72
"983","GBAS","hurdle",2.27355001097934e-85,-1.9342432,-0.4585207,1.4757225,0.72
"814","EMP2","hurdle",8.83051579554313e-105,-0.9856802,0.1317795,1.1174597,0.72
"584","COX8A","hurdle",9.61744053702871e-114,-0.3196993,0.5547044,0.8744037,0.72
"53","ADIPOR1","hurdle",1.86139557899587e-78,-1.5568128,-0.2803032,1.2765096,0.72
"2260","SELENBP1","hurdle",1.11886024626394e-72,-1.9657332,-0.4782368,1.4874964,0.719
"2100","REEP5","hurdle",1.97417588283341e-110,-0.5638884,0.3922448,0.9561332,0.719
"1642","NDUFA5","hurdle",2.95885750509526e-103,-1.09613638,0.03262377,1.12876015,0.719
"397","CBX3","hurdle",7.5535902801422e-81,-1.24539427,-0.07347301,1.17192126,0.719
"2597","TMC4","hurdle",1.87338797460917e-89,-2.8594281,-0.9024844,1.9569437,0.718
"2231","SCGB2A1","hurdle",3.79425992101254e-228,-3.044367,0.132085,3.176452,0.718
"1960","PRELID1","hurdle",1.11137782120942e-105,-0.75134,0.2601538,1.0114938,0.718
"649","CYHR1","hurdle",2.60785093076728e-72,-2.0079627,-0.5660462,1.4419165,0.718
"1957","PRDX3","hurdle",8.59503834357133e-89,-1.02884176,0.07235427,1.10119603,0.717
"1886","PLEKHF2","hurdle",1.82010391671468e-103,-2.4620831,-0.6913331,1.77075,0.717
"113","AP1M2","hurdle",4.90385705239753e-93,-2.8792823,-0.9192029,1.9600794,0.717
"2868","WFDC2","hurdle",1.79324193685929e-140,-1.917039,0.02966279,1.94670179,0.716
"1657","NDUFB7","hurdle",9.97695555962966e-110,-0.6886567,0.2812654,0.9699221,0.716
"2209","S100A11","hurdle",1.36203643989172e-88,0.7300182,1.3632609,0.6332427,0.715
"2208","S100A1","hurdle",8.8689935213487e-215,-2.90825125,0.07285646,2.98110771,0.715
"2578","TIMM13","hurdle",1.23501839614086e-94,-1.4586128,-0.1928813,1.2657315,0.714
"1641","NDUFA4","hurdle",7.31570294577965e-108,0.3413972,0.9954448,0.6540476,0.714
"844","ERGIC1","hurdle",4.04027706516432e-91,-2.0835331,-0.5452564,1.5382767,0.714
"2940","ZNF593","hurdle",2.08879834018277e-68,-1.9165888,-0.5575515,1.3590373,0.713
"2401","SNRNP25","hurdle",7.15800520317231e-79,-2.461413,-0.7852691,1.6761439,0.713
"1150","HOOK2","hurdle",6.48512300134802e-76,-2.060466,-0.5678243,1.4926417,0.713
"1639","NDUFA2","hurdle",1.75735348357207e-95,-0.8064934,0.1946498,1.0011432,0.712
"1610","NAA38","hurdle",4.34705631380355e-76,-1.12148411,-0.05301392,1.06847019,0.712
"840","ERBB2","hurdle",3.96578068779517e-91,-2.7297931,-0.8259365,1.9038566,0.712
"280","BTG2","hurdle",1.95314378194715e-100,0.124384,1.032256,0.907872,0.712
"159","ARMT1","hurdle",4.38675229581785e-151,-2.3926383,-0.2542874,2.1383509,0.712
"2911","ZKSCAN1","hurdle",1.08402077549452e-70,-1.9209619,-0.5134779,1.407484,0.711
"2810","UQCC3","hurdle",6.20703697260077e-77,-2.27784,-0.710583,1.567257,0.711
"1898","PMVK","hurdle",1.50651704338257e-68,-1.744332,-0.4300755,1.3142565,0.711
"493","CHMP4B","hurdle",2.62359052448782e-90,-1.6031826,-0.3184807,1.2847019,0.711
"351","C7orf73","hurdle",5.83257678848127e-72,-1.4382267,-0.2616737,1.176553,0.711
"318","C1orf21","hurdle",5.02200607666921e-89,-1.9003089,-0.4394207,1.4608882,0.711
"172","ASPH","hurdle",6.33594629373372e-83,-1.537482,-0.246211,1.291271,0.711
"807","ELOVL5","hurdle",4.0265996305019e-76,-1.3873603,-0.1622733,1.225087,0.71
"2671","TMEM9","hurdle",5.4965897325149e-75,-1.945139,-0.5178872,1.4272518,0.709
"2360","SLC50A1","hurdle",9.30759192159545e-80,-2.1909548,-0.6341098,1.556845,0.709
"1597","MYEOV2","hurdle",1.26899958263398e-90,-1.0098319,0.1826697,1.1925016,0.709
"468","CERS4","hurdle",1.43509344096549e-83,-2.4790576,-0.7927794,1.6862782,0.709
"114","AP1S1","hurdle",8.11867818198402e-66,-2.114048,-0.6706801,1.4433679,0.709
"2389","SMS","hurdle",8.09269977146591e-75,-1.667272,-0.43199,1.235282,0.708
"2164","RP11-532F12.5","hurdle",6.69840001003917e-73,-2.7042653,-0.9249762,1.7792891,0.708
"2049","RAB2A","hurdle",2.70471127644814e-101,-0.6387804,0.2690063,0.9077867,0.708
"1809","PDCD6","hurdle",1.4235316871277e-92,-0.8587359,0.1154784,0.9742143,0.708
"1684","NINJ1","hurdle",3.3043936428157e-77,-1.5160831,-0.3038586,1.2122245,0.708
"2599","TMCO1","hurdle",4.4490822019123e-89,-1.005534274,-0.003307795,1.002226479,0.707
"1678","NET1","hurdle",9.30168446564487e-75,-1.6546024,-0.3304185,1.3241839,0.707
"1495","MPG","hurdle",1.32944593571838e-76,-1.308961,-0.203011,1.10595,0.707
"1141","HN1L","hurdle",1.77867426878413e-73,-2.6866552,-0.9404825,1.7461727,0.707
"1113","HIST1H1C","hurdle",3.71088666822304e-74,-2.253712,-0.604774,1.648938,0.707
"943","FIS1","hurdle",3.29313082627544e-101,-0.3935781,0.4535622,0.8471403,0.707
"467","CERS2","hurdle",5.677072431778e-72,-1.7301433,-0.4449587,1.2851846,0.707
"2811","UQCR10","hurdle",2.88414947075372e-95,-0.4981379,0.3895284,0.8876663,0.706
"2685","TOB1","hurdle",6.84143231183379e-87,-0.6061607,0.3577738,0.9639345,0.706
"1312","KRTCAP2","hurdle",1.23220625449827e-64,-0.7427223,0.2230198,0.9657421,0.706
"1002","GID8","hurdle",5.1872183494409e-71,-1.9760015,-0.5903509,1.3856506,0.706
"598","CRIP1","hurdle",8.8122935984971e-112,-1.4230349,-0.1684607,1.2545742,0.706
"187","ATP5G1","hurdle",8.02565357346825e-80,-0.93561127,0.06365674,0.99926801,0.706
"82","ALCAM","hurdle",2.64286378488477e-100,-2.4246674,-0.6395519,1.7851155,0.706
"2960","ZNHIT1","hurdle",1.28561539558648e-82,-0.90645674,0.06699355,0.97345029,0.705
"2615","TMEM134","hurdle",3.87163663139962e-69,-1.8038838,-0.5500031,1.2538807,0.705
"2148","ROMO1","hurdle",5.51843647256216e-74,-1.12619726,-0.03620281,1.08999445,0.705
"1952","PPP4C","hurdle",5.4957299757629e-77,-1.290496,-0.1770123,1.1134837,0.705
"1566","MTA1","hurdle",7.12584270453372e-120,-2.3942451,-0.5691002,1.8251449,0.705
"1275","KDM5B","hurdle",8.18451379520406e-95,-2.132802,-0.5676104,1.5651916,0.705
"1238","IRX3","hurdle",1.1098482377635e-83,-2.6739323,-0.7458922,1.9280401,0.705
"313","C19orf70","hurdle",1.34518844396212e-89,-1.021239717,-0.003368112,1.017871605,0.705
"209","AURKAIP1","hurdle",7.2761807933823e-97,-0.95916776,0.04381686,1.00298462,0.705
"181","ATOX1","hurdle",5.03090730867124e-88,-0.8486576,0.1544325,1.0030901,0.705
"2215","S100P","hurdle",2.57703321951483e-181,-3.0912366,-0.4214121,2.6698245,0.704
"2055","RAB4A","hurdle",3.68840907414377e-66,-1.7804429,-0.5071492,1.2732937,0.704
"2640","TMEM230","hurdle",2.08771661212748e-95,-0.8799306,0.1101706,0.9901012,0.703
"2580","TIMM17B","hurdle",2.86902411464702e-63,-1.950073,-0.629978,1.320095,0.703
"1739","NUPR2","hurdle",3.45113791995106e-182,-3.1750274,-0.6516734,2.523354,0.703
"1433","MCCC2","hurdle",2.79279881715579e-82,-2.5584046,-0.8421588,1.7162458,0.703
"945","FKBP4","hurdle",1.45512374673594e-89,-1.3556023,-0.1999684,1.1556339,0.703
"606","CSNK1A1","hurdle",5.25318950199797e-99,-0.6649876,0.2628213,0.9278089,0.703
"2874","WWP1","hurdle",6.57610339983572e-75,-2.2047449,-0.7008768,1.5038681,0.702
"2621","TMEM14A","hurdle",5.42372720754924e-62,-1.4864746,-0.3508037,1.1356709,0.702
"2527","TBCA","hurdle",2.77516854821583e-90,-0.3265635,0.4865435,0.813107,0.702
"2101","REEP6","hurdle",1.52429164927774e-91,-2.8145661,-0.8919077,1.9226584,0.702
"1783","PARD6B","hurdle",4.86928205689919e-97,-3.0008788,-0.9105215,2.0903573,0.702
"1551","MRPS33","hurdle",1.69011818888777e-82,-1.7297898,-0.4928531,1.2369367,0.702
"1543","MRPS16","hurdle",1.28232615949986e-67,-1.833491,-0.5770901,1.2564009,0.702
"1508","MRPL14","hurdle",6.40886916890992e-85,-1.6412987,-0.4012088,1.2400899,0.702
"325","C1QBP","hurdle",9.10978020232447e-65,-1.0578585,-0.0288169,1.0290416,0.702
"194","ATP6V0B","hurdle",1.29950216967874e-90,-0.6845272,0.2427103,0.9272375,0.702
"2879","YIF1A","hurdle",1.68431394108043e-90,-1.377617,-0.2247999,1.1528171,0.701
"2347","SLC38A1","hurdle",1.96299809848196e-75,-1.4987157,-0.3634258,1.1352899,0.701
"1925","PON2","hurdle",4.35256697509354e-70,-1.7996373,-0.5171253,1.282512,0.701
"1918","POLR2K","hurdle",6.36891807719002e-83,-0.7717499,0.1648981,0.936648,0.701
"99","ANAPC13","hurdle",5.8075919848649e-59,-1.8747968,-0.5724125,1.3023843,0.701
"2261","SELM","hurdle",2.49754868120475e-114,-0.1206186,0.7014498,0.8220684,0.7
"1919","POLR2L","hurdle",9.55154405442503e-81,-0.4041121,0.4434463,0.8475584,0.7
