"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Normal_Epithelial","log2fold_change","Auc"
"896","NOP16","hurdle",0.00206347290469265,-2.125744,-1.597321,0.528423,0.564
"847","MYH14","hurdle",0.000708275288673578,-2.784051,-2.070181,0.71387,0.564
"834","MTERF2","hurdle",0.00209856403931374,-2.498224,-1.821144,0.67708,0.564
"516","GMNN","hurdle",5.38506770324367e-09,-2.543715,-1.631607,0.912108,0.564
"458","FAM98C","hurdle",0.0154590221004891,-2.191784,-1.675314,0.51647,0.564
"412","ENDOD1","hurdle",0.0835662481277452,-2.325397,-1.724704,0.600693,0.564
"366","DYNC2LI1","hurdle",0.00271257674666496,-2.300831,-1.720485,0.580346,0.564
"321","DCDC2","hurdle",1.29861600040442e-10,-3.214668,-2.114426,1.100242,0.564
"264","CLPTM1","hurdle",0.00265664907795335,-1.883868,-1.364342,0.519526,0.564
"227","CDKN1C","hurdle",0.0013803478878138,-2.152965,-1.518565,0.6344,0.564
"191","CBR3","hurdle",0.000118879007378511,-2.266953,-1.519564,0.747389,0.564
"1442","TUBB2B","hurdle",6.48041258614577e-23,-3.146759,-1.715168,1.431591,0.563
"1395","TMPRSS2","hurdle",0.0285089812827251,-3.080434,-2.332326,0.748108,0.563
"1354","TEX9","hurdle",2.09461736449724e-06,-2.917494,-2.115782,0.801712,0.563
"1151","RRP9","hurdle",0.00915216001606709,-2.803006,-2.083964,0.719042,0.563
"1009","POLR1E","hurdle",0.0629389828066544,-2.481101,-1.97435,0.506751,0.563
"982","PKP2","hurdle",0.00276028526673797,-2.888618,-2.084065,0.804553,0.563
"965","PHACTR4","hurdle",0.0225369981689888,-2.155001,-1.596668,0.558333,0.563
"873","NEIL1","hurdle",0.0254602724085309,-2.478835,-1.836923,0.641912,0.563
"770","MAP2K7","hurdle",0.0475267324285702,-2.370732,-1.74974,0.620992,0.563
"726","LIMK2","hurdle",0.000158612703106733,-2.591272,-1.823947,0.767325,0.563
"687","KLK7","hurdle",5.86151382756097e-17,-3.289114,-2.087687,1.201427,0.563
"668","KIAA1671","hurdle",0.0142410540894011,-2.626767,-2.056702,0.570065,0.563
"502","GATM","hurdle",0.0129925132277286,-2.639167,-2.003608,0.635559,0.563
"249","CHST9","hurdle",4.03385595635698e-12,-3.315573,-2.358068,0.957505,0.563
"188","CASZ1","hurdle",0.00790412201997067,-2.534891,-1.827782,0.707109,0.563
"97","ARHGEF37","hurdle",0.000216174359377247,-2.798682,-2.118919,0.679763,0.563
"14","ACADS","hurdle",0.0118516289296578,-2.684224,-2.011915,0.672309,0.563
"1522","ZCCHC8","hurdle",0.0265787414750063,-2.405114,-1.849982,0.555132,0.562
"1501","WWC1","hurdle",0.00172300607896423,-2.934015,-2.154536,0.779479,0.562
"1469","UTP4","hurdle",0.118467705920722,-2.679781,-2.070339,0.609442,0.562
"1305","SSH3","hurdle",0.212017798142497,-2.425746,-1.878157,0.547589,0.562
"1271","SMIM20","hurdle",0.0176769352148788,-2.207587,-1.647361,0.560226,0.562
"1222","SH3D19","hurdle",7.88277604213935e-05,-2.615991,-1.893853,0.722138,0.562
"1116","RNF39","hurdle",3.97552192572674e-09,-2.858993,-1.944587,0.914406,0.562
"1045","PRSS16","hurdle",9.64709070233663e-05,-3.101471,-2.326507,0.774964,0.562
"954","PEMT","hurdle",0.0167764524740071,-2.036963,-1.521149,0.515814,0.562
"824","MSRB3","hurdle",1.27282794359068e-07,-2.039577,-1.207072,0.832505,0.562
"823","MRTO4","hurdle",0.0221659447413133,-2.293869,-1.763946,0.529923,0.562
"822","MRPS9","hurdle",0.041951251104607,-2.457002,-1.848344,0.608658,0.562
"729","LINC01315","hurdle",0.00131494754371071,-3.119572,-2.282977,0.836595,0.562
"683","KLHL21","hurdle",0.00116934386852607,-2.734681,-1.967274,0.767407,0.562
"619","INHBB","hurdle",0.00130201624825233,-2.212492,-1.522425,0.690067,0.562
"510","GGT7","hurdle",0.00101722978100154,-2.704459,-1.958157,0.746302,0.562
"505","GCNT2","hurdle",0.0215731335339572,-3.055156,-2.368399,0.686757,0.562
"500","GAS2L1","hurdle",0.000858975832475576,-2.519125,-1.915628,0.603497,0.562
"493","FZD3","hurdle",0.240494889200512,-2.796994,-2.223465,0.573529,0.562
"385","EGLN3","hurdle",0.000583322758796038,-2.176542,-1.525133,0.651409,0.562
"329","DEFB1","hurdle",3.97091337231033e-18,-3.211975,-1.900158,1.311817,0.562
"240","CHD8","hurdle",0.035340374336266,-2.510256,-1.89211,0.618146,0.562
"218","CDCA7L","hurdle",3.6468889805802e-09,-3.037935,-2.076767,0.961168,0.562
"192","CBWD5","hurdle",0.0112485944532847,-2.180033,-1.626765,0.553268,0.562
"164","C1orf198","hurdle",0.354748031084764,-2.443074,-1.916996,0.526078,0.562
"49","ALAS1","hurdle",0.0354627488894609,-2.41698,-1.766513,0.650467,0.562
"1550","ZNF827","hurdle",0.245237159842681,-2.652578,-2.073295,0.579283,0.561
"1546","ZNF652","hurdle",0.00116648295449639,-2.083557,-1.570473,0.513084,0.561
"1504","XPA","hurdle",0.0232055210263412,-2.168319,-1.634558,0.533761,0.561
"1471","VDR","hurdle",1.05807138119037e-06,-2.853093,-1.957036,0.896057,0.561
"1468","UTP3","hurdle",0.000827765123197975,-2.3916,-1.810745,0.580855,0.561
"1423","TRNAU1AP","hurdle",0.134046760317901,-2.266669,-1.749599,0.51707,0.561
"1389","TMEM25","hurdle",0.105538895580862,-2.289279,-1.764563,0.524716,0.561
"1378","TM4SF18","hurdle",0.00056573322888955,-2.263844,-1.554346,0.709498,0.561
"1363","TGFB1I1","hurdle",2.29382363303435e-05,-1.680328,-1.013997,0.666331,0.561
"1311","ST5","hurdle",4.40472302700827e-06,-2.482152,-1.713637,0.768515,0.561
"1227","SHMT2","hurdle",0.123462712588101,-2.252031,-1.740491,0.51154,0.561
"1201","SERPINA3","hurdle",3.59186277214494e-06,-3.094378,-2.098232,0.996146,0.561
"1179","SCNN1B","hurdle",2.69742459048439e-13,-3.096639,-2.075689,1.02095,0.561
"1075","RAB27B","hurdle",0.575403378327979,-2.185395,-1.673432,0.511963,0.561
"958","PEX11A","hurdle",0.0167503177018424,-2.604589,-1.957529,0.64706,0.561
"841","MXI1","hurdle",0.000548426256940345,-2.416741,-1.843542,0.573199,0.561
"670","KIAA2026","hurdle",0.00122891845143538,-2.106576,-1.605428,0.501148,0.561
"456","FAM73A","hurdle",0.00107473884603803,-2.377506,-1.841127,0.536379,0.561
"361","DUS3L","hurdle",0.00024763934035142,-2.623781,-1.936567,0.687214,0.561
"128","BARX2","hurdle",2.88189833477951e-08,-3.146438,-2.304033,0.842405,0.561
"1553","ZZZ3","hurdle",0.0371968571301613,-2.412349,-1.889706,0.522643,0.56
"1444","TUBB6","hurdle",4.03219234333942e-05,-2.014869,-1.376784,0.638085,0.56
"1436","TTC32","hurdle",0.124994640756101,-2.671883,-2.086854,0.585029,0.56
"1254","SLC44A3","hurdle",1.53329095477464e-05,-3.044355,-2.161074,0.883281,0.56
"1182","SDC1","hurdle",0.000246532928029557,-2.058143,-1.547888,0.510255,0.56
"1067","QDPR","hurdle",0.0015852659061499,-2.216108,-1.681913,0.534195,0.56
"852","MYO1E","hurdle",1.1103840228586e-06,-2.085805,-1.566754,0.519051,0.56
"791","MET","hurdle",0.000905678596382728,-2.653617,-1.890881,0.762736,0.56
"682","KLHL13","hurdle",3.63788957527227e-26,-3.201498,-1.826409,1.375089,0.56
"452","FAM3D","hurdle",2.10480749105917e-08,-3.300158,-2.361513,0.938645,0.56
"434","EVA1C","hurdle",0.137804018887996,-2.204585,-1.676182,0.528403,0.56
"420","EPHA2","hurdle",0.035068463669189,-2.825259,-2.18016,0.645099,0.56
"56","ALKBH2","hurdle",0.00114821495630162,-2.411761,-1.760146,0.651615,0.56
"55","ALG2","hurdle",0.00720524265909084,-2.324485,-1.77083,0.553655,0.56
"1519","ZC3H7B","hurdle",0.00360501587981663,-2.648989,-1.982462,0.666527,0.559
"1449","TXLNG","hurdle",0.00277520180824736,-2.169601,-1.618302,0.551299,0.559
"1391","TMEM57","hurdle",0.0182740755024296,-2.206119,-1.683899,0.52222,0.559
"1317","STK3","hurdle",0.00391428668692417,-2.201078,-1.687154,0.513924,0.559
"1231","SIPA1","hurdle",0.0415372868892822,-2.00952,-1.508098,0.501422,0.559
"1210","SEZ6L2","hurdle",0.187946988131096,-2.444556,-1.942822,0.501734,0.559
"1118","RNPC3","hurdle",0.00865357014806826,-2.326326,-1.77542,0.550906,0.559
"972","PI15","hurdle",1.09823695004138e-06,-3.085594,-2.050861,1.034733,0.559
"663","KIAA0319L","hurdle",0.00368789611420843,-2.249853,-1.739807,0.510046,0.559
"655","KCNN4","hurdle",0.00126729930459493,-3.011127,-2.253966,0.757161,0.559
"654","KCNMB1","hurdle",1.89956555633901e-13,-2.844535,-1.733476,1.111059,0.559
"404","ELF5","hurdle",6.26180067697675e-16,-3.186364,-2.040244,1.14612,0.559
"392","EIF2D","hurdle",0.0243530614623066,-2.182653,-1.655229,0.527424,0.559
"301","CTD-2626G11.2","hurdle",0.0259163794851875,-3.192284,-2.503739,0.688545,0.559
"255","CLASRP","hurdle",0.00275344784979911,-2.224083,-1.612356,0.611727,0.559
"1533","ZNF274","hurdle",0.000353611776940407,-2.720161,-2.033918,0.686243,0.558
"1455","UBXN11","hurdle",3.5943210314304e-07,-2.510031,-1.893452,0.616579,0.558
"1379","TM7SF3","hurdle",0.00134574470038886,-2.212112,-1.655893,0.556219,0.558
"715","LCN2","hurdle",8.88356050367931e-13,-3.175662,-2.030654,1.145008,0.558
"582","HOMER2","hurdle",0.124401009514233,-2.941579,-2.247116,0.694463,0.558
"235","CES2","hurdle",0.00474863760671863,-2.728352,-2.049039,0.679313,0.558
"90","ARG2","hurdle",0.00022790579974858,-2.807112,-2.104348,0.702764,0.558
"59","AMIGO2","hurdle",1.28094325259789e-14,-2.906032,-1.745444,1.160588,0.558
"1497","WIF1","hurdle",6.21488353410685e-29,-3.297535,-1.807601,1.489934,0.557
"1425","TRUB2","hurdle",9.90239971389554e-05,-2.355722,-1.767048,0.588674,0.557
"1392","TMEM80","hurdle",0.00110412842645528,-2.239547,-1.704721,0.534826,0.557
"1322","SUCLA2","hurdle",0.0121864719750966,-2.35083,-1.784802,0.566028,0.557
"1315","STC2","hurdle",0.000103913100888098,-1.2346401,-0.6446578,0.5899823,0.557
"1232","SIRT3","hurdle",0.298673307953242,-2.520826,-1.952642,0.568184,0.557
"1143","RPP25L","hurdle",0.0932067871786245,-2.31299,-1.790805,0.522185,0.557
"1022","PPP1R14A","hurdle",2.2269078242286e-05,-1.787392,-1.060312,0.72708,0.557
"975","PIGS","hurdle",0.000478852449195136,-2.414373,-1.786132,0.628241,0.557
"741","LRRC42","hurdle",0.0283647849331703,-2.511198,-1.946638,0.56456,0.557
"686","KLK6","hurdle",9.63025803728299e-21,-3.318378,-2.215028,1.10335,0.557
"658","KDF1","hurdle",0.0603119362793186,-2.899228,-2.231158,0.66807,0.557
"563","HAP1","hurdle",2.24149216880902e-16,-3.243298,-2.101848,1.14145,0.557
"364","DUSP8","hurdle",0.0171454591120695,-2.906122,-2.290321,0.615801,0.557
"291","CRISPLD1","hurdle",1.29935631739615e-06,-2.890677,-2.062437,0.82824,0.557
"33","ADPRHL2","hurdle",0.0372242319190015,-2.455197,-1.925297,0.5299,0.557
"1545","ZNF618","hurdle",7.28718674105017e-05,-2.757453,-1.9608,0.796653,0.556
"1508","YBEY","hurdle",0.123357069019403,-2.371662,-1.86158,0.510082,0.556
"898","NOXA1","hurdle",0.00477277906459954,-2.760452,-2.10486,0.655592,0.556
"652","KCNK1","hurdle",0.00021545552780142,-3.092688,-2.320663,0.772025,0.556
"615","IL34","hurdle",3.58730406599171e-05,-2.982847,-2.154631,0.828216,0.556
"542","GRHL2","hurdle",0.000155049543273138,-2.839929,-2.115908,0.724021,0.556
"527","GOT2","hurdle",0.0018677034915446,-2.320047,-1.733435,0.586612,0.556
"518","GNA11","hurdle",0.000694777636640467,-2.462708,-1.914748,0.54796,0.556
"481","FLOT2","hurdle",0.00597823831116096,-2.0498,-1.52887,0.52093,0.556
"303","CTR9","hurdle",0.0118179985076715,-2.027154,-1.511731,0.515423,0.556
"34","ADRB2","hurdle",1.16859950287277e-05,-2.452547,-1.700608,0.751939,0.556
"1540","ZNF462","hurdle",0.0852876851760631,-2.865596,-2.283015,0.582581,0.555
"1474","VIPR1","hurdle",7.25285738006969e-05,-2.848778,-2.121104,0.727674,0.555
"1286","SORT1","hurdle",0.0465774263196759,-2.466337,-1.949857,0.51648,0.555
"1123","ROPN1B","hurdle",0.000166415147676633,-3.305268,-2.520044,0.785224,0.555
"1000","PLXNB1","hurdle",0.0588460354200724,-2.761606,-2.238498,0.523108,0.555
"875","NELFA","hurdle",0.000882870917022449,-2.464485,-1.916891,0.547594,0.555
"802","MICAL3","hurdle",0.0216666843185232,-2.827671,-2.191182,0.636489,0.555
"641","ITPKC","hurdle",0.0134117146845233,-2.282984,-1.700437,0.582547,0.555
"298","CSPP1","hurdle",0.00333443588370541,-2.398774,-1.844293,0.554481,0.555
"265","CLPX","hurdle",0.0324817261929935,-2.51857,-1.92661,0.59196,0.555
"173","CA8","hurdle",0.00668562346828158,-2.808045,-2.223931,0.584114,0.555
"160","C12orf29","hurdle",0.0196096947914527,-2.61624,-1.997042,0.619198,0.555
"151","BSCL2","hurdle",0.130442342282342,-2.583272,-1.989747,0.593525,0.555
"107","ATE1","hurdle",0.0657531806248532,-2.570634,-2.004176,0.566458,0.555
"37","AGAP1","hurdle",0.0115574031099695,-2.85603,-2.268222,0.587808,0.555
"1523","ZDHHC1","hurdle",0.000306399494521297,-2.760413,-2.039607,0.720806,0.554
"1496","WHAMM","hurdle",0.013568696302316,-2.571878,-1.99114,0.580738,0.554
"1233","SLC10A3","hurdle",0.00740741968605078,-2.447979,-1.842888,0.605091,0.554
"1226","SHMT1","hurdle",0.00167586788639769,-2.801002,-2.137668,0.663334,0.554
"1019","PPME1","hurdle",0.0751450903337669,-2.435905,-1.890453,0.545452,0.554
"837","MUC15","hurdle",6.86001403870601e-11,-3.301299,-2.463221,0.838078,0.554
"541","GRHL1","hurdle",0.00546942053971493,-2.764303,-2.178921,0.585382,0.554
"504","GCDH","hurdle",0.00516317806585721,-2.549124,-2.004084,0.54504,0.554
"418","EPB41L5","hurdle",0.00205816019149709,-2.349515,-1.817251,0.532264,0.554
"334","DHRS12","hurdle",0.00452757221779712,-2.570205,-1.993432,0.576773,0.554
"328","DDX49","hurdle",0.0119980477289261,-2.302793,-1.768923,0.53387,0.554
"278","COL9A2","hurdle",0.000144712161297444,-2.860687,-2.124706,0.735981,0.554
"132","BBS2","hurdle",0.109515591371431,-2.606601,-2.020783,0.585818,0.554
"1537","ZNF385A","hurdle",0.0217158087878507,-2.251509,-1.750598,0.500911,0.553
"1467","UTP14A","hurdle",0.00781586429477856,-2.697428,-2.074031,0.623397,0.553
"1454","UBIAD1","hurdle",0.0489717089080238,-2.551451,-2.043154,0.508297,0.553
"1350","TEAD2","hurdle",0.0213303107391842,-2.389534,-1.858945,0.530589,0.553
"1327","SYCE1L","hurdle",0.00103182618134597,-2.965002,-2.255328,0.709674,0.553
"1225","SHANK2","hurdle",0.000701425321401251,-2.829462,-2.251761,0.577701,0.553
"1181","SCUBE2","hurdle",0.0186148327116239,-2.101249,-1.500511,0.600738,0.553
"1130","RP11-295M3.4","hurdle",1.61352028550727e-12,-3.294856,-2.241355,1.053501,0.553
"1125","RP11-1094M14.11","hurdle",0.0555077390786407,-2.59278,-2.007462,0.585318,0.553
"1094","RDH13","hurdle",0.00158984110435896,-2.635965,-2.017486,0.618479,0.553
"899","NRG1","hurdle",2.35418095724756e-21,-3.282392,-2.120561,1.161831,0.553
"356","DSG3","hurdle",5.40139956110218e-20,-3.309836,-2.179072,1.130764,0.553
"354","DSC3","hurdle",1.16900566023263e-09,-3.320516,-2.508981,0.811535,0.553
"310","CXCL17","hurdle",0.000443289333519364,-3.148551,-2.348839,0.799712,0.553
"1321","STX3","hurdle",0.0451469385038488,-2.445657,-1.908687,0.53697,0.552
"1257","SLC5A6","hurdle",0.000687275419449425,-2.622786,-2.093757,0.529029,0.552
"1230","SIK2","hurdle",0.074222004332539,-2.636812,-2.083259,0.553553,0.552
"1149","RRP12","hurdle",0.00276976493269186,-2.554863,-1.997015,0.557848,0.552
"934","PART1","hurdle",1.58937054551435e-05,-3.27904,-2.598506,0.680534,0.552
"857","N4BP2","hurdle",0.0259861647246229,-2.781266,-2.178616,0.60265,0.552
"845","MYH10","hurdle",0.112251377686609,-2.677119,-2.079648,0.597471,0.552
"598","HTT","hurdle",0.0365958410252571,-2.633227,-2.124722,0.508505,0.552
"577","HMGN5","hurdle",0.0976520435491948,-2.682289,-2.099166,0.583123,0.552
"574","HMBOX1","hurdle",0.283467930161546,-2.545607,-2.027045,0.518562,0.552
"556","GYLTL1B","hurdle",2.2726133124795e-09,-3.113818,-2.215808,0.89801,0.552
"546","GRTP1","hurdle",0.00795182547840255,-2.627114,-2.047383,0.579731,0.552
"530","GPHN","hurdle",0.207996623847746,-2.66322,-2.162617,0.500603,0.552
"478","FHOD3","hurdle",8.07823034082987e-19,-3.220195,-2.02046,1.199735,0.552
"477","FHL3","hurdle",0.0386243803968301,-2.491693,-1.901855,0.589838,0.552
"469","FEM1B","hurdle",0.0128379426590603,-2.402393,-1.825129,0.577264,0.552
"443","FAH","hurdle",0.000824053406131622,-2.438113,-1.813242,0.624871,0.552
"438","EXPH5","hurdle",0.00419968393207833,-2.967688,-2.415258,0.55243,0.552
"231","CELSR2","hurdle",0.0571642831187976,-2.786318,-2.219826,0.566492,0.552
"142","BEND5","hurdle",7.89462371794851e-06,-3.092578,-2.323971,0.768607,0.552
"64","ANKRD35","hurdle",0.0693075693596335,-3.073825,-2.367791,0.706034,0.552
"58","ALOX5","hurdle",0.140936779432101,-2.874251,-2.245951,0.6283,0.552
"1331","SYVN1","hurdle",2.60920722371034e-05,-2.503967,-1.933654,0.570313,0.551
"1148","RRP1","hurdle",0.0117589940191623,-2.58594,-2.077845,0.508095,0.551
"1040","PRPF4","hurdle",0.00813542111117614,-2.576694,-2.063814,0.51288,0.551
"1035","PROL1","hurdle",4.66318155919822e-18,-3.253698,-1.739177,1.514521,0.551
"887","NIPSNAP1","hurdle",0.117349861050749,-2.393229,-1.888006,0.505223,0.551
"853","MYO5B","hurdle",0.0249267320046103,-3.00307,-2.499293,0.503777,0.551
"749","LTBP2","hurdle",1.64144833336678e-08,-2.725689,-1.785493,0.940196,0.551
"640","ITGBL1","hurdle",8.76083573929518e-06,-2.695314,-1.954944,0.74037,0.551
"534","GPRC5B","hurdle",0.000474682680076694,-2.59879,-1.994045,0.604745,0.551
"474","FGGY","hurdle",0.000902813329210119,-2.829526,-2.243177,0.586349,0.551
"467","FDCSP","hurdle",5.77737441403255e-22,-3.258067,-1.371075,1.886992,0.551
"382","EFNA5","hurdle",0.00424646817370462,-2.968346,-2.323302,0.645044,0.551
"316","DAB2IP","hurdle",0.0998946786633625,-2.832935,-2.180617,0.652318,0.551
"219","CDCP1","hurdle",0.0677007916361475,-2.950759,-2.407117,0.543642,0.551
"190","CBLC","hurdle",0.000240340052921369,-2.854439,-2.197161,0.657278,0.551
"187","CASC3","hurdle",0.13559543188245,-2.219537,-1.71717,0.502367,0.551
"57","ALKBH3","hurdle",0.00740328332413745,-2.571079,-2.018591,0.552488,0.551
"1548","ZNF7","hurdle",0.0038927078223481,-2.602348,-2.099484,0.502864,0.55
"1530","ZNF140","hurdle",0.513482335047291,-2.702375,-2.183884,0.518491,0.55
"1493","WDTC1","hurdle",0.269820421335014,-2.796052,-2.21166,0.584392,0.55
"1380","TM9SF1","hurdle",0.103122490317606,-2.44762,-1.931927,0.515693,0.55
"1176","SCAF1","hurdle",0.00582435351426487,-2.701632,-2.134128,0.567504,0.55
"1157","RTKN","hurdle",0.0368682673308699,-2.630629,-2.057005,0.573624,0.55
"1152","RSAD1","hurdle",0.139444423462717,-2.391212,-1.879689,0.511523,0.55
"977","PIK3CD-AS2","hurdle",0.000166875702845985,-3.188152,-2.485503,0.702649,0.55
"681","KLHDC8B","hurdle",0.113621050678354,-2.54221,-2.030478,0.511732,0.55
"636","ITGA3","hurdle",0.00892658305350941,-2.544011,-1.924862,0.619149,0.55
"508","GGH","hurdle",0.133599649243152,-2.668492,-2.125494,0.542998,0.55
"507","GEMIN8","hurdle",0.0669859031943033,-2.476028,-1.945664,0.530364,0.55
"416","ENTPD6","hurdle",0.000258680193523202,-2.474763,-1.923199,0.551564,0.55
"405","ELMO3","hurdle",0.00255054156463782,-2.917968,-2.263129,0.654839,0.55
"285","COX15","hurdle",0.01660526402081,-2.703968,-2.10936,0.594608,0.55
"169","C3orf58","hurdle",0.0022731955562255,-2.539821,-1.895409,0.644412,0.55
"1370","THSD4","hurdle",0.000856512345323512,-2.41078,-1.810721,0.600059,0.549
"1336","TBC1D14","hurdle",1.45355170602696e-05,-2.805148,-2.291302,0.513846,0.549
"1109","RNASEH1","hurdle",0.00261473716116292,-2.429017,-1.871345,0.557672,0.549
"1033","PRMT7","hurdle",0.022882068054177,-2.790293,-2.225657,0.564636,0.549
"900","NRXN1","hurdle",3.04295228728804e-16,-3.304049,-2.27364,1.030409,0.549
"881","NGFR","hurdle",7.05347584578271e-12,-2.975451,-1.944345,1.031106,0.549
"801","MIA","hurdle",1.1371284344388e-10,-3.299029,-2.41231,0.886719,0.549
"792","METAP1","hurdle",0.00231594892258173,-2.501634,-2.000229,0.501405,0.549
"733","LMX1B","hurdle",0.00504780546628195,-3.171509,-2.509388,0.662121,0.549
"720","LGALS7B","hurdle",6.22593662805946e-27,-3.314532,-2.145168,1.169364,0.549
"605","IFFO2","hurdle",3.63395543749728e-06,-3.062498,-2.28553,0.776968,0.549
"549","GSTM1","hurdle",7.86095414912677e-06,-2.998518,-2.18309,0.815428,0.549
"533","GPR87","hurdle",6.86001403871191e-11,-3.319785,-2.503228,0.816557,0.549
"522","GNG7","hurdle",0.00660804200620895,-2.792618,-2.152548,0.64007,0.549
"451","FAM3B","hurdle",0.00727767000428689,-2.764755,-2.053538,0.711217,0.549
"446","FAM122A","hurdle",0.00132340671854238,-2.597693,-2.001297,0.596396,0.549
"375","EDN3","hurdle",1.53308680438092e-16,-3.30311,-2.246806,1.056304,0.549
"277","COL27A1","hurdle",0.0374554071378924,-2.954701,-2.377539,0.577162,0.549
"13","AC097724.3","hurdle",0.00326994540274765,-3.224048,-2.539162,0.684886,0.549
"1","AACS","hurdle",0.00739798466274137,-2.769885,-2.198267,0.571618,0.549
"1542","ZNF574","hurdle",0.0354137077943271,-2.776493,-2.222897,0.553596,0.548
"1421","TRIP10","hurdle",0.00757941346765249,-2.424054,-1.899866,0.524188,0.548
"1409","TPRA1","hurdle",0.00497490976037693,-2.375915,-1.845724,0.530191,0.548
"1400","TNFSF13","hurdle",0.304409261615067,-2.830455,-2.290568,0.539887,0.548
"1373","TICAM1","hurdle",0.0512359664401507,-2.465125,-1.951069,0.514056,0.548
"1080","RAI2","hurdle",0.19291375913618,-2.693357,-2.144747,0.54861,0.548
"939","PCLO","hurdle",0.00173129275099951,-2.86471,-2.241234,0.623476,0.548
"838","MUC20","hurdle",0.00301140628944983,-3.210297,-2.65311,0.557187,0.548
"817","MRAS","hurdle",0.0235263773637429,-2.818405,-2.226274,0.592131,0.548
"622","INPP5J","hurdle",0.00207468522288585,-3.064534,-2.36578,0.698754,0.548
"538","GRAMD2","hurdle",3.19259409808531e-08,-3.252203,-2.544068,0.708135,0.548
"473","FGFR1","hurdle",0.000219562748547602,-2.215747,-1.602973,0.612774,0.548
"1483","WARS2","hurdle",0.0147215016339091,-2.512199,-1.966475,0.545724,0.547
"1256","SLC5A1","hurdle",0.013225149609313,-3.193143,-2.537126,0.656017,0.547
"1158","RTN2","hurdle",0.0263765189882454,-2.631784,-2.119136,0.512648,0.547
"1126","RP11-12G12.7","hurdle",0.0224508527879863,-2.611641,-2.055967,0.555674,0.547
"1117","RNLS","hurdle",0.0816017106051514,-2.985737,-2.44277,0.542967,0.547
"995","PLLP","hurdle",0.0160476369716234,-2.826751,-2.244379,0.582372,0.547
"909","NUP88","hurdle",0.0601098080348921,-2.776488,-2.196954,0.579534,0.547
"874","NEK10","hurdle",0.00905626221031088,-2.573556,-1.989969,0.583587,0.547
"788","MED24","hurdle",0.0313272980484454,-2.581665,-2.064169,0.517496,0.547
"743","LRRC8E","hurdle",0.313355418812515,-3.053477,-2.546946,0.506531,0.547
"739","LRP5","hurdle",0.0624678809311398,-2.663268,-2.130773,0.532495,0.547
"630","IRX1","hurdle",1.52184435884294e-05,-3.274839,-2.493511,0.781328,0.547
"596","HSPB8","hurdle",2.57871611700261e-06,-2.209457,-1.422581,0.786876,0.547
"326","DDX10","hurdle",0.0486867967057968,-2.547568,-2.005178,0.54239,0.547
"286","CP","hurdle",6.25416016479934e-07,-2.987287,-2.088699,0.898588,0.547
"268","CMTM4","hurdle",0.010386267832016,-3.094994,-2.456391,0.638603,0.547
"60","ANG","hurdle",0.0211530491582416,-2.639313,-2.105501,0.533812,0.547
"1360","TFB1M","hurdle",0.00106761753904111,-2.595975,-2.044388,0.551587,0.546
"1279","SNX12","hurdle",0.00177454359384568,-2.422537,-1.803168,0.619369,0.546
"1272","SNAI2","hurdle",3.77672727024677e-07,-2.777709,-1.893566,0.884143,0.546
"1245","SLC27A1","hurdle",0.00592977026671425,-2.70962,-2.093039,0.616581,0.546
"1193","SEMA4B","hurdle",0.220943685587168,-2.626016,-2.112296,0.51372,0.546
"1164","S100A9","hurdle",0.00315004875861507,-2.221464,-1.545403,0.676061,0.546
"1161","RUNDC1","hurdle",0.00516476246216976,-2.431938,-1.917767,0.514171,0.546
"1025","PPP1R9A","hurdle",0.158804739831268,-2.807968,-2.287498,0.52047,0.546
"990","PLEKHB1","hurdle",1.16236763291982e-06,-2.998081,-2.195261,0.80282,0.546
"987","PLEKHA4","hurdle",0.00253171017742466,-2.70388,-2.068577,0.635303,0.546
"953","PEG10","hurdle",0.000369126625451792,-2.628517,-2.060341,0.568176,0.546
"902","NSG1","hurdle",4.91835785892839e-11,-3.100465,-2.080198,1.020267,0.546
"570","HHLA3","hurdle",0.0069193450818628,-2.740236,-2.140941,0.599295,0.546
"233","CEP70","hurdle",0.435489514483795,-2.665551,-2.164147,0.501404,0.546
"177","CADM4","hurdle",0.000333385237798044,-3.018115,-2.372108,0.646007,0.546
"106","ATAD3C","hurdle",0.00020233314724827,-3.166943,-2.428734,0.738209,0.546
"1434","TST","hurdle",0.11818534413211,-2.573027,-2.058843,0.514184,0.545
"1412","TRAF3IP2","hurdle",0.00536399244100232,-2.702768,-2.118428,0.58434,0.545
"1377","TM4SF1-AS1","hurdle",6.68367025964866e-05,-3.069119,-2.363538,0.705581,0.545
"1184","SDC3","hurdle",0.0197215571835105,-2.803792,-2.297651,0.506141,0.545
"1139","RP11-817J15.2","hurdle",1.39662426294205e-14,-3.318169,-2.371886,0.946283,0.545
"804","MKL1","hurdle",0.0630648863700617,-2.593484,-2.089326,0.504158,0.545
"662","KIAA0232","hurdle",0.00289643205550385,-2.341166,-1.81591,0.525256,0.545
"1513","ZBED1","hurdle",0.0214436179726041,-2.614955,-1.991133,0.623822,0.544
"1217","SGCE","hurdle",0.00010376975546355,-2.356845,-1.692454,0.664391,0.544
"1200","SERPINA1","hurdle",1.78607176086138e-06,-2.361328,-1.449985,0.911343,0.544
"1051","PSTPIP2","hurdle",0.0236122894768099,-2.856892,-2.291684,0.565208,0.544
"840","MUL1","hurdle",0.00158789768132885,-2.684158,-2.079101,0.605057,0.544
